CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,238301,198196,40105,169004,144694,24310,70.9203906,73.0055097,60.61588331,85.61572507,14.38427493,40.59134695,3.307022319,3.382760171,4.435989681,51.66564105,59.40865305,650393,341303,309090,0,0,0,95443,86463,8980,#DIV/0!,#DIV/0!,#DIV/0!,90.59124294,9.408757059,89.89553975,8.113743281,5.474471674,2.082918601,54.37381474,10.10446025,#DIV/0!,#DIV/0!,#DIV/0!,4.975517869,-49.3041928,-4.806720962,-2.091711503,2.35307108,-2.708173688
Badgam,2,District - Badgam ,0,753745,398041,355704,204578,147375,57203,153320,119440,33880,74.94451994,81.04495335,59.22766288,77.9024263,22.0975737,44.56952779,17.22932429,4.820636577,4.546047482,33.65510044,55.43047221,629309,326050,303259,0,0,0,107127,94238,12889,#DIV/0!,#DIV/0!,#DIV/0!,87.968486,12.031514,65.03215809,28.70051434,6.089967982,3.894443044,39.60346131,34.96784191,#DIV/0!,#DIV/0!,#DIV/0!,10.0660597,-20.46263031,-11.47119005,-1.269331405,0.651604438,-5.948360869
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,73528,50542,22986,61328,44856,16472,83.40768143,88.74995054,71.66101105,73.14114271,26.85885729,25.97834594,1.44142969,2.40673102,2.318679885,70.26154448,74.02165406,117232,64306,52926,0,0,0,29815,22205,7610,#DIV/0!,#DIV/0!,#DIV/0!,74.47593493,25.52406507,59.96310582,6.748281067,4.692268992,4.91028006,68.90826765,40.03689418,#DIV/0!,#DIV/0!,#DIV/0!,1.334792224,-33.98475988,-5.306851377,-2.285537972,-2.591600175,1.353276832
Kargil,4,District - Kargil ,0,140802,77785,63017,54199,40222,13977,38953,30407,8546,71.87032971,75.59793148,61.14330686,78.06073987,21.93926013,21.57215105,1.666110441,2.148743357,13.05676071,63.70497779,78.42784895,119307,64955,54352,0,0,0,29902,21517,8385,#DIV/0!,#DIV/0!,#DIV/0!,71.95839743,28.04160257,61.0761822,3.197110561,3.08675005,8.644906695,57.81887499,38.9238178,#DIV/0!,#DIV/0!,#DIV/0!,-6.102342434,-39.50403114,-1.53100012,-0.938006693,4.411854016,5.886102802
Punch,5,District - Punch ,0,476835,251899,224936,175577,122474,53103,117596,87133,30463,66.97688194,71.14407956,57.36587387,74.09520732,25.90479268,52.40314296,1.920133338,2.246675057,5.119221742,40.55750196,47.59685704,372613,194213,178400,0,0,0,59362,49220,10142,#DIV/0!,#DIV/0!,#DIV/0!,82.91499613,17.08500387,145.7851824,6.096492706,4.022775513,3.709443752,32.9739564,-45.78518244,#DIV/0!,#DIV/0!,#DIV/0!,8.819788805,-93.38203948,-4.176359368,-1.776100456,1.40977799,7.583545553
Rajouri,6,District - Rajouri ,0,642415,345351,297064,286255,166831,119424,195120,127833,67287,68.16300152,76.62424849,56.34294614,65.51506765,34.48493235,60.55658057,2.671176712,2.301148011,3.233907339,33.53833538,39.44341943,483284,257336,225948,0,0,0,84381,75937,8444,#DIV/0!,#DIV/0!,#DIV/0!,89.9930079,10.0069921,115.9893815,4.305471611,4.010381484,2.456714189,42.03552933,-15.9893815,#DIV/0!,#DIV/0!,#DIV/0!,24.47794025,-55.43280093,-1.634294899,-1.709233473,0.77719315,-8.497193942
Kathua,7,District - Kathua ,0,616435,326109,290326,184482,145962,38520,148804,122121,26683,80.66044384,83.66629671,69.27050883,82.06835838,17.93164162,44.60632779,5.713556087,6.378860783,7.380177952,42.29993817,55.39367221,550084,289391,260693,0,0,0,116807,93202,23605,#DIV/0!,#DIV/0!,#DIV/0!,79.79145085,20.20854915,65.01065861,6.455092589,5.652914637,6.925098667,40.37942932,34.98934139,#DIV/0!,#DIV/0!,#DIV/0!,-2.276907523,-20.40433082,-0.741536501,0.725946146,0.455079285,1.920508859
Baramula,8,District - Baramula ,Y,1008039,534733,473306,296452,238541,57911,222030,186359,35671,74.89576727,78.12451528,61.59624251,83.93415304,16.06584696,40.80619736,7.337747151,6.661261992,4.802954556,47.05310093,59.19380264,1169780,614816,554964,0,0,0,188374,164769,23605,#DIV/0!,#DIV/0!,#DIV/0!,87.46907747,12.53092253,64.0847463,15.94752991,8.198583669,3.548791234,47.40781637,35.9152537,6.894392712,7.818068154,5.630770882,7.660922358,-21.57517424,-6.840642689,-2.26313025,1.020955156,-3.594022041
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,144735,92123,52612,100001,70648,29353,69.09247936,76.68877479,55.79145442,70.64729353,29.35270647,46.29153708,13.03486965,4.32395676,4.05195948,36.62163378,53.70846292,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.894392712,7.818068154,5.630770882,7.660922358,-21.57517424,-6.840642689,-2.26313025,1.020955156,-3.594022041
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,358306,287453,70853,313675,261713,51962,87.54388707,91.04549265,73.33775563,83.43444648,16.56555352,7.549852554,13.18912888,19.17557982,7.628277676,71.63274089,92.45014745,1202447,649491,552956,0,0,0,249638,227255,22383,#DIV/0!,#DIV/0!,#DIV/0!,91.03381697,8.966183033,14.03672518,22.59351541,16.6252734,5.201932398,71.84082552,85.96327482,4.519056025,4.25044263,5.625780278,9.101794578,-0.708049847,-9.478317518,-0.426770316,2.600049229,-6.086680366
Ganderbal,11,District - Ganderbal ,Y,297446,158720,138726,104626,72757,31869,74188,56071,18117,70.90780494,77.06612422,56.84834792,75.57960856,24.42039144,37.76217178,12.80260959,3.611096134,8.536420985,40.89879765,62.23782822,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.519056025,4.25044263,5.625780278,9.101794578,-0.708049847,-9.478317518,-0.426770316,2.600049229,-6.086680366
Pulwama,12,District - Pulwama ,Y,560440,293064,267376,202060,138855,63205,141639,106305,35334,70.09749579,76.55828022,55.90380508,75.05348103,24.94651897,45.18388297,9.597639068,6.100014826,3.419962016,41.79851595,54.81611703,652607,335544,317063,0,0,0,109979,99568,10411,#DIV/0!,#DIV/0!,#DIV/0!,90.53364733,9.466352667,75.21617763,15.18835414,6.582165686,2.425008411,41.98437884,24.78382237,7.67938089,5.736504671,9.481118437,15.5297024,-23.39509988,-6.962684489,-1.052854865,0.218586997,-4.67472165
Shupiyan,13,District - Shupiyan ,Y,266215,136480,129735,80828,54120,26708,61153,45797,15356,75.65818776,84.62121212,57.49588138,74.8892123,25.1107877,67.19375991,5.047994375,4.2074796,0.845420503,26.91282521,32.80624009,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.67938089,5.736504671,9.481118437,15.5297024,-23.39509988,-6.962684489,-1.052854865,0.218586997,-4.67472165
Anantnag,14,District - Anantnag ,Y,1078692,559767,518925,420257,230069,190188,280714,178650,102064,66.795794,77.65061786,53.66479483,63.64128615,36.35871385,56.48453586,6.132932451,6.488454441,3.335779477,34.04675221,43.51546414,1172434,610007,562427,0,0,0,196195,175879,20316,#DIV/0!,#DIV/0!,#DIV/0!,89.64499605,10.35500395,77.92706236,15.44687683,7.353908102,2.038278244,46.04551594,22.07293764,9.655684191,3.850914603,16.03651073,25.59511239,-19.68862008,-9.167051379,-1.410371323,0.914205226,-13.51626715
Kulgam,15,District - Kulgam ,Y,424483,217620,206863,170121,94896,75225,115969,75425,40544,68.16853886,79.48174844,53.89697574,65.03893282,34.96106718,62.48393967,6.635393941,4.624511723,2.024679009,28.85598738,37.51606033,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.655684191,3.850914603,16.03651073,25.59511239,-19.68862008,-9.167051379,-1.410371323,0.914205226,-13.51626715
Doda,16,District - Doda ,Y,409936,213641,196295,155396,94132,61264,109013,74004,35009,70.15174136,78.61726087,57.14448942,67.88548155,32.11451845,53.10834488,2.680414263,2.971205269,11.26562887,32.94561199,46.89165512,691929,363526,328403,0,0,0,141333,107810,33523,#DIV/0!,#DIV/0!,#DIV/0!,76.28084029,23.71915971,101.5658056,4.267227045,3.349536202,4.301896938,32.21611372,-1.56580558,4.57522333,4.693207142,4.564875916,4.497563133,-44.42313389,-1.846165759,-0.421761285,4.207084139,-0.288827772
Ramban,17,District - Ramban ,Y,283713,149132,134581,85362,64345,21017,62927,50418,12509,73.71781355,78.3557386,59.51848504,80.12141052,19.87858948,56.89926423,3.03367394,3.307006531,7.627886281,32.43917555,43.10073577,#N/A,#N/A,#N/A,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.57522333,4.693207142,4.564875916,4.497563133,-44.42313389,-1.846165759,-0.421761285,4.207084139,-0.288827772
