DistrictCode,Area,Total,AgeGroup,MainWorkers,MainWokersMale,MainWorkersFemale,CultivatorsTotal,CultivatorsMale,CultivatorsFemale,AgriculturalLabourersTotal,AgriculturalLabourersMale,AgriculturalLabourersFemale,PlantationTotal,PlantationMale,PlantationFemale,BTotal,Bmales,Bfemales,CHHITotal,CHHIMale,CHHIFemale,CNonHHITotal,CNonHHIMale,CNonHHIFemale,DETotal,DEMale,DEFemale,Ftotal,Fmale,Ffemale,GHHITotal,GHHIMale,GHHIFemale,GNonHHITotal,GNonHHIMale,GNonHHIFemale,HTotal,Hmale,Hfemale,ITotal,IMale,IFemale,JHHITotal,JHHIMale,JHHIFemale,JNonHHITotal,JNonHHIMale,JNonHHIFemale,KMTotal,KMMale,KMFemale,NOTotal,NOMale,NOFemale,PQTotal,PQMale,PQFemale,RUHHITotal,RUHHIMale,RUHHIFemale,RUNonHHI,RUNonHHIMale,RUNonHHIFemale,Biggest Employer,Biggest  Employer,Biggest  Employer,PerCultivatorsTotal,PerCultivatorsMale,PerCultivatorsFemale,PerAgriculturalLabourersTotal,PerAgriculturalLabourersMale,PerAgriculturalLabourersFemale,PerPlantationTotal,PerPlantationMale,PerPlantationFemale,PerBTotal,PerBmales,PerBfemales,PerCHHITotal,PerCHHIMale,PerCHHIFemale,PerCNonHHITotal,PerCNonHHIMale,PerCNonHHIFemale,PerDETotal,PerDEMale,PerDEFemale,PerFtotal,PerFmale,PerFfemale,PerGHHITotal,PerGHHIMale,PerGHHIFemale,PerGNonHHITotal,PerGNonHHIMale,PerGNonHHIFemale,PerHTotal,PerHmale,PerHfemale,PerITotal,PerIMale,PerIFemale,PerJHHITotal,PerJHHIMale,PerJHHIFemale,PerJNonHHITotal,PerJNonHHIMale,PerJNonHHIFemale,PerKMTotal,PerKMMale,PerKMFemale,PerNOTotal,PerNOMale,PerNOFemale,PerPQTotal,PerPQMale,PerPQFemale,PerRUHHITotal,PerRUHHIMale,PerRUHHIFemale,PerRUNonHHI,PerRUNonHHIMale,PerRUNonHHIFemale,Agriculture,Manufacturing,WholesaleRetail,Construction,Services
1,District - Kupwara ,Total,Total,122975,110720,12255,14585,12171,2414,9834,8804,1030,3096,2986,110,25,25,0,1199,1126,73,2312,2222,90,1952,1920,32,3512,3453,59,14,14,0,5538,5456,82,2638,2596,42,367,354,13,12,12,0,126,122,4,603,569,34,58025,56972,1053,12041,7789,4252,1410,711,699,5686,3418,2268,NO,NO,PQ,11.86013417,83.44874871,16.55125129,7.996747306,89.52613382,10.47386618,2.517584875,96.44702842,3.552971576,0.020329335,100,0,0.974994918,93.91159299,6.088407006,1.880056922,96.10726644,3.892733564,1.587314495,98.36065574,1.639344262,2.855865013,98.32004556,1.679954442,0.011384428,100,0,4.50335434,98.51932105,1.480678945,2.145151454,98.40788476,1.592115239,0.298434641,96.45776567,3.542234332,0.009758081,100,0,0.10245985,96.82539683,3.174603175,0.490343566,94.3615257,5.638474295,47.18438707,98.18526497,1.814735028,9.791421021,64.68731833,35.31268167,1.146574507,50.42553191,49.57446809,4.623704005,60.11255716,39.88744284,22.37446635,2.875381175,4.514738768,2.855865013,67.37954869
2,District - Badgam ,Total,Total,131126,115872,15254,34173,31582,2591,11560,10877,683,3945,3467,478,190,175,15,13582,10226,3356,9038,7637,1401,2860,2776,84,5493,5423,70,40,40,0,7997,7870,127,3957,3925,32,284,281,3,7,7,0,400,391,9,937,894,43,20039,19489,550,10920,7202,3718,1210,668,542,4494,2942,1552,Cultivators,Cultivators,PQ,26.06119305,92.41799081,7.582009189,8.815948019,94.0916955,5.908304498,3.008556655,87.8833967,12.1166033,0.1448988,92.10526316,8.571428571,10.3579763,75.29082609,24.70917391,6.892607111,84.49878292,15.50121708,2.181108247,97.06293706,2.937062937,4.18910056,98.72565083,1.274349172,0.03050501,100,0,6.098714214,98.41190446,1.588095536,3.017708159,99.19130655,0.808693455,0.216585574,98.94366197,1.056338028,0.005338377,100,0,0.305050104,97.75,2.25,0.71457987,95.41088581,4.589114194,15.28224761,97.25535206,2.744647937,8.327867852,65.95238095,34.04761905,0.922776566,55.20661157,44.79338843,3.427237924,65.46506453,34.53493547,37.88569773,17.39548221,6.129219224,4.18910056,34.40050028
3,District - Leh(Ladakh) ,Total,Total,61120,48697,12423,11175,6303,4872,593,304,289,1046,694,352,54,40,14,198,148,50,552,384,168,258,224,34,958,726,232,0,0,0,1622,1116,506,2026,1920,106,302,216,86,0,0,0,154,124,30,276,186,90,35192,33320,1872,4538,1628,2910,364,86,278,1812,1278,534,NO,NO,Cultivators,18.28370419,56.40268456,43.59731544,0.970222513,51.26475548,48.73524452,1.711387435,66.34799235,33.65200765,0.088350785,74.07407407,35,0.32395288,74.74747475,25.25252525,0.903141361,69.56521739,30.43478261,0.422120419,86.82170543,13.17829457,1.567408377,75.782881,24.217119,0,#DIV/0!,#DIV/0!,2.653795812,68.80394575,31.19605425,3.314790576,94.76801579,5.231984205,0.494109948,71.52317881,28.47682119,0,#DIV/0!,#DIV/0!,0.251963351,80.51948052,19.48051948,0.451570681,67.39130435,32.60869565,57.57853403,94.68060923,5.319390771,7.42473822,35.87483473,64.12516527,0.595549738,23.62637363,76.37362637,2.964659686,70.52980132,29.47019868,20.96531414,1.315445026,2.653795812,1.567408377,73.49803665
4,District - Kargil ,Total,Total,27770,23990,3780,1834,1102,732,524,279,245,387,329,58,2,2,0,108,88,20,231,214,17,468,447,21,938,905,33,0,0,0,875,836,39,1165,1133,32,119,114,5,0,0,0,75,72,3,143,141,2,15786,15171,615,4057,2539,1518,172,128,44,886,490,396,NO,NO,PQ,6.60424919,60.087241,39.912759,1.88692834,53.24427481,46.75572519,1.393590205,85.0129199,14.9870801,0.007202017,100,0,0.388908894,81.48148148,18.51851852,0.831832913,92.64069264,7.359307359,1.685271876,95.51282051,4.487179487,3.377745769,96.48187633,3.518123667,0,#DIV/0!,#DIV/0!,3.150882247,95.54285714,4.457142857,4.195174649,97.25321888,2.746781116,0.428519986,95.79831933,4.201680672,0,#DIV/0!,#DIV/0!,0.270075621,96,4,0.514944184,98.6013986,1.398601399,56.84551674,96.10414291,3.895857089,14.6092906,62.58318955,37.41681045,0.619373425,74.41860465,25.58139535,3.190493338,55.30474041,44.69525959,9.884767735,1.227943824,3.150882247,3.377745769,82.35866042
5,District - Punch ,Total,Total,74163,64150,10013,17902,15566,2336,5917,4958,959,1922,1426,496,12,12,0,650,528,122,1002,948,54,1648,1610,38,2572,2530,42,0,0,0,2494,2446,48,1732,1688,44,192,192,0,6,6,0,80,68,12,468,442,26,24496,24008,488,9374,5712,3662,664,378,286,3032,1632,1400,NO,NO,PQ,24.13872146,86.95117864,13.04882136,7.978371964,83.7924624,16.2075376,2.591588798,74.19354839,25.80645161,0.016180575,100,0,0.876447824,81.23076923,18.76923077,1.351078031,94.61077844,5.389221557,2.22213233,97.69417476,2.305825243,3.468036622,98.36702955,1.632970451,0,#DIV/0!,#DIV/0!,3.362862883,98.07538091,1.924619086,2.335396357,97.4595843,2.540415704,0.258889204,100,0,0.008090288,100,0,0.107870501,85,15,0.631042434,94.44444444,5.555555556,33.02994755,98.00783801,1.992161986,12.63972601,60.93449968,39.06550032,0.895325162,56.92771084,43.07228916,4.088292005,53.82585752,46.17414248,34.70868223,2.24370643,3.362862883,3.468036622,56.21671184
6,District - Rajouri ,Total,Total,132390,112425,19965,43100,34752,8348,6148,5205,943,6804,4638,2166,322,314,8,826,694,132,2372,2000,372,2210,2150,60,4410,4286,124,6,6,0,4586,4504,82,3008,2958,50,416,406,10,6,6,0,152,146,6,742,674,68,40660,39780,880,11760,6802,4958,780,374,406,4082,2730,1352,Cultivators,NO,Cultivators,32.55532895,80.63109049,19.36890951,4.643855276,84.66167859,15.33832141,5.139360979,68.16578483,31.83421517,0.243220787,97.51552795,2.547770701,0.623914193,84.01937046,15.98062954,1.791676108,84.31703204,15.68296796,1.669310371,97.28506787,2.714932127,3.331067301,97.18820862,2.811791383,0.004532064,100,0,3.464007856,98.21194941,1.788050589,2.27207493,98.33776596,1.662234043,0.314223129,97.59615385,2.403846154,0.004532064,100,0,0.114812297,96.05263158,3.947368421,0.560465292,90.83557951,9.164420485,30.71228945,97.83571077,2.164289228,8.882846136,57.84013605,42.15986395,0.589168366,47.94871795,52.05128205,3.08331445,66.87898089,33.12101911,42.33854521,2.658811088,3.46853992,3.331067301,48.20303648
7,District - Kathua ,Total,Total,143813,124362,19451,46391,39107,7284,10152,8985,1167,5492,4492,1000,40,40,0,1472,1268,204,6760,6398,362,3634,3492,142,8504,8210,294,24,24,0,10444,10214,230,8606,8514,92,1310,1296,14,2,0,2,460,452,8,1720,1622,98,20484,19574,910,12368,6664,5704,608,306,302,5342,3704,1638,Cultivators,Cultivators,Cultivators,32.25786264,84.29867862,15.70132138,7.059167113,88.50472813,11.49527187,3.818848087,81.79169701,18.20830299,0.027813897,100,0,1.023551417,86.14130435,13.85869565,4.700548629,94.64497041,5.355029586,2.526892562,96.0924601,3.907539901,5.913234548,96.54280339,3.457196613,0.016688338,100,0,7.262208563,97.79777863,2.202221371,5.984159986,98.93097839,1.069021613,0.910905134,98.93129771,1.06870229,0.001390695,0,100,0.319859818,98.26086957,1.739130435,1.19599758,94.30232558,5.697674419,14.24349676,95.5575083,4.442491701,8.600057018,53.88098318,46.11901682,0.422771238,50.32894737,49.67105263,3.714545973,69.33732684,30.66267316,43.13587784,5.751913944,7.278896901,5.913234548,37.92007677
8,District - Baramula ,Total,Total,185075,167112,17963,31114,28357,2757,19159,18143,1016,5754,5456,298,138,138,0,5362,4528,834,9372,8566,806,6138,6024,114,7466,7334,132,26,26,0,15682,15486,196,6396,6294,102,1526,1504,22,0,0,0,558,546,12,1506,1430,76,46240,45284,956,16612,10344,6268,2110,928,1182,9916,6724,3192,NO,NO,PQ,16.81156288,91.13903709,8.860962911,10.35201945,94.69700924,5.302990762,3.109009861,94.82099409,5.179005909,0.074564366,100,0,2.897203836,84.4461022,15.5538978,5.063893016,91.39991464,8.600085361,3.316493314,98.1427175,1.857282502,4.034040254,98.231985,1.768015001,0.014048359,100,0,8.473321626,98.75015942,1.249840582,3.455896258,98.40525328,1.594746717,0.824530596,98.55832241,1.441677588,0,#DIV/0!,#DIV/0!,0.301499392,97.84946237,2.150537634,0.813724166,94.95351926,5.046480744,24.98446576,97.93252595,2.067474048,8.975820613,62.26823983,37.73176017,1.140078347,43.98104265,56.01895735,5.357827908,67.80960065,32.19039935,30.27259219,8.035661218,8.487369985,4.034040254,49.17033635
9,District - Bandipore ,Total,Total,74632,64063,10569,10778,9878,900,9423,7881,1542,4767,4273,494,470,469,1,8717,6223,2494,3371,2939,432,1074,1058,16,2984,2932,52,8,8,0,4578,4209,369,1947,1919,28,192,186,6,3,3,0,87,86,1,336,320,16,15774,15401,373,5666,3805,1861,1072,651,421,3385,1822,1563,NO,NO,CHHI,14.44152642,91.64965671,8.350343292,12.62595133,83.63578478,16.36421522,6.387340551,89.63708832,10.36291168,0.629756673,99.78723404,0.213219616,11.67997642,71.38923942,28.61076058,4.516829242,87.18481163,12.81518837,1.439060993,98.51024209,1.489757914,3.998284918,98.25737265,1.742627346,0.010719263,100,0,6.134097974,91.93971166,8.060288336,2.608800515,98.56189009,1.438109913,0.2572623,96.875,3.125,0.004019723,100,0,0.11657198,98.85057471,1.149425287,0.450209026,95.23809524,4.761904762,21.13570586,97.63534931,2.364650691,7.591917676,67.15495941,32.84504059,1.436381177,60.72761194,39.27238806,4.535587952,53.82570162,46.17429838,33.45481831,16.82656233,6.144817237,3.998284918,39.5755172
10,District - Srinagar ,Total,Total,330806,289824,40982,6602,5616,986,6513,6013,500,8421,7570,851,437,428,9,10538,8746,1792,31463,27538,3925,6801,6253,548,23752,23121,631,42,42,0,68971,67363,1608,20826,20426,400,3914,3808,106,35,30,5,3301,3048,253,7298,6276,1022,77148,71928,5220,30842,15637,15205,2188,1379,809,21714,14602,7112,NO,NO,PQ,1.995731637,85.06513178,14.93486822,1.968827651,92.32304622,7.676953785,2.545600745,89.89431184,10.10568816,0.132101594,97.94050343,2.102803738,3.185552862,82.99487569,17.00512431,9.511012497,87.5250294,12.4749706,2.055887741,91.94236142,8.057638583,7.180039056,97.34338161,2.65661839,0.012696263,100,0,20.84938,97.66858535,2.331414653,6.295532729,98.07932392,1.920676078,1.183170801,97.29177312,2.708226878,0.010580219,85.71428571,14.28571429,0.997865819,92.33565586,7.664344138,2.206126854,85.99616333,14.00383667,23.3212215,93.23378441,6.766215586,9.323289179,50.70034369,49.29965631,0.661414847,63.02559415,36.97440585,6.563968005,67.24693746,32.75306254,6.510160033,12.82866695,20.86207626,7.180039056,52.6190577
