CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWorkersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWorkersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,227698,189520,38178,122975,110720,12255,54.00794034,58.4212748,32.09963854,90.03455987,9.96544013,22.37446635,2.875381175,4.514738768,2.855865013,67.37954869,77.62553365,650393,341303,309090,146789,126490,20299,130841,117456,13385,89.13542568,92.85793343,65.93920883,89.77002622,10.22997378,49.70689616,5.126069046,4.268539678,1.48118709,39.41730803,50.29310384,-35.12748534,-34.43665863,-33.83957029,-0.264533655,-27.3324298,-2.250687871,0.24619909,1.374677924,27.96224066
Badgam,2,District - Badgam ,0,753745,398041,355704,213597,161277,52320,131126,115872,15254,61.38943899,71.84657453,29.15519878,88.36691427,11.63308573,37.88569773,17.39548221,6.129219224,4.18910056,34.40050028,62.11430227,629309,326050,303259,340832,207937,132895,153402,130182,23220,45.00809783,62.60646253,17.47244065,84.86330035,15.13669965,45.52678583,22.22526434,5.296541114,3.142071159,23.80933756,54.47321417,16.38134116,9.240111993,11.68275813,-3.503613918,-7.641088105,-4.82978213,0.83267811,1.0470294,10.59116272
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,79102,57367,21735,61120,48697,12423,77.26732573,84.8867816,57.15665977,79.67441099,20.32558901,20.96531414,1.315445026,2.653795812,1.567408377,73.49803665,79.03468586,117232,64306,52926,129016,89963,39053,39237,28599,10638,30.41250698,31.78973578,27.23990474,72.88783546,27.11216454,35.27792645,3.789790249,3.973290517,3.150087927,53.80890486,64.72207355,46.85481876,53.09704582,29.91675502,-6.786575533,-14.31261231,-2.474345223,-1.319494705,-1.58267955,19.68913179
Kargil,4,District - Kargil ,0,140802,77785,63017,50743,38605,12138,27770,23990,3780,54.72676034,62.14220956,31.14186851,86.38818869,13.61181131,9.884767735,1.227943824,3.150882247,3.377745769,82.35866042,90.11523227,119307,64955,54352,217352,109370,107982,40624,28512,12112,18.69041923,26.06930603,11.21668426,70.18511225,29.81488775,39.21573454,1.408034659,2.924379677,7.192792438,49.25905868,60.78426546,36.03634111,36.07290353,19.92518425,-16.20307644,-29.33096681,-0.180090835,0.22650257,-3.815046669,33.09960174
Punch,5,District - Punch ,0,476835,251899,224936,162975,119003,43972,74163,64150,10013,45.50575242,53.90620405,22.77130901,86.49865836,13.50134164,34.70868223,2.24370643,3.362862883,3.468036622,56.21671184,65.29131777,372613,194213,178400,369291,164191,205100,82670,68891,13779,22.38613993,41.95784178,6.718186251,83.33252691,16.66747309,68.1504778,4.560299988,3.419620177,2.80996734,21.05963469,31.8495222,23.11961249,11.94836226,16.05312276,-3.166131446,-33.44179558,-2.316593557,-0.056757293,0.658069282,35.15707715
Rajouri,6,District - Rajouri ,0,642415,345351,297064,293503,187184,106319,132390,112425,19965,45.10686433,60.06122318,18.77839333,84.91955586,15.08044414,42.33854521,2.658811088,3.46853992,3.331067301,48.20303648,57.66145479,483284,257336,225948,323046,184648,138398,117301,106041,11260,36.31092786,57.42872926,8.135955722,90.40076385,9.599236153,59.87246486,3.315402256,3.463738587,2.220782432,31.12761187,40.12753514,8.79593647,2.632493924,10.6424376,5.481207989,-17.53391965,-0.656591167,0.004801333,1.11028487,17.07542461
Kathua,7,District - Kathua ,0,616435,326109,290326,200887,162147,38740,143813,124362,19451,71.58900277,76.69707118,50.20908622,86.47479713,13.52520287,43.13587784,5.751913944,7.278896901,5.913234548,37.92007677,56.86412216,550084,289391,260693,423912,211568,212344,162839,128156,34683,38.41339712,60.57437798,16.3334024,78.70104827,21.29895173,56.05659578,5.631943208,4.985906325,4.672099436,28.65345525,43.94340422,33.17560565,16.1226932,33.87568381,-7.773748858,-12.92071794,0.119970736,2.292990576,1.241135112,9.266621513
Baramula,8,District - Baramula ,Y,1008039,534733,473306,301795,247590,54205,185075,167112,17963,61.3247403,67.4954562,33.13900932,90.29420505,9.705794948,30.27259219,8.035661218,8.487369985,4.034040254,49.17033635,69.72740781,1169780,614816,554964,276407,231881,44526,269708,229102,40606,97.57640002,98.80154045,91.19615506,84.94445845,15.05554155,44.78065167,16.38364453,7.150696309,2.276906877,29.40810061,55.21934833,-4.509391337,-6.125177814,-2.97976482,-4.069314762,-13.59358316,-5.821742082,0.663494299,1.746858366,17.00497258
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,148688,100894,47794,74632,64063,10569,50.19369418,63.49535156,22.11365443,85.83851431,14.16148569,33.45481831,16.82656233,6.144817237,3.998284918,39.5755172,66.54518169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-4.509391337,-6.125177814,-2.97976482,-4.069314762,-13.59358316,-5.821742082,0.663494299,1.746858366,17.00497258
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,407511,333106,74405,330806,289824,40982,81.17719522,87.00653846,55.07963175,87.61147017,12.38852983,6.510160033,12.82866695,20.86207626,7.180039056,52.6190577,93.48983997,1202447,649491,552956,532075,370112,161963,323196,290531,32665,60.74256449,78.4981303,20.16818656,89.89312987,10.10687013,10.73404374,19.58749489,16.23658709,4.637433632,48.80444065,89.26595626,-1.69978415,-2.869969191,0.620264171,2.134203004,-1.365822691,-6.818860703,2.411324155,2.485158303,3.288200936
