CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices,BiggestEmployer,BiggestEmployerByMen,BiggestEmployerbyWomen
Kupwara,1,District - Kupwara ,0,870354,474190,396164,169004,144694,24310,99707,91192,8515,58.99682848,63.02403693,35.02673797,91.45997773,8.540022265,19.89429027,2.87943675,4.514226684,2.840322144,74.38595084,80.10570973,650393,341303,309090,147427,111490,35937,95443,86463,8980,64.73915904,77.55224684,24.98817375,90.59124294,9.408757059,47.34553608,4.821726056,4.409961967,1.510849407,46.32188846,52.65446392,-5.742330564,-14.52820991,10.03856422,-0.868734794,-27.45124581,-1.942289307,0.104264717,1.329472736,28.06406238,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Badgam,2,District - Badgam ,0,753745,398041,355704,153320,119440,33880,102062,91505,10557,66.56796243,76.61168788,31.15997639,89.65628735,10.34371265,36.18486802,15.72867473,6.347122337,4.394387725,43.69206953,63.81513198,629309,326050,303259,147011,106702,40309,107127,94238,12889,72.87005734,88.31886937,31.97548934,87.968486,12.031514,45.73823593,16.63072801,5.689508714,3.407170928,34.22386513,54.26176407,-6.302094911,-11.7071815,-0.815512958,-1.687801352,-9.553367904,-0.902053287,0.657613623,0.987216797,9.468204394,Cultivators,Cultivators,"Education, Health and Social Work"
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,61328,44856,16472,49128,39170,9958,80.10696582,87.32388086,60.45410393,79.73049992,20.26950008,17.83097215,1.298648429,2.715355805,1.656896271,79.21348315,82.16902785,117232,64306,52926,41899,27336,14563,29815,22205,7610,71.15921621,81.22988001,52.25571654,74.47593493,25.52406507,30.05534127,3.370786517,4.081838001,3.011906758,63.56196545,69.94465873,8.947749613,6.094000852,8.198387392,-5.254564986,-12.22436912,-2.072138088,-1.366482196,-1.355010487,15.65151769,Administration and Defence,Administration and Defence,Cultivators
Kargil,4,District - Kargil ,0,140802,77785,63017,38953,30407,8546,23707,20592,3115,60.86052422,67.7212484,36.44980108,86.86042097,13.13957903,8.351963555,1.185303919,2.674315603,3.201586029,87.2611465,91.64803644,119307,64955,54352,39093,24510,14583,29902,21517,8385,76.48939708,87.78865769,57.49845711,71.95839743,28.04160257,36.26178851,1.518293091,2.909504381,7.521236038,54.69868236,63.73821149,-15.62887286,-20.06740929,-21.04865603,-14.90202354,-27.90982495,-0.332989172,-0.235188778,-4.319650008,32.56246413,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Punch,5,District - Punch ,0,476835,251899,224936,117596,87133,30463,59615,51792,7823,50.69475152,59.44016618,25.68033352,86.87746373,13.12253627,30.49400319,2.298079342,3.32131175,3.291118007,63.91679946,69.50599681,372613,194213,178400,111936,61557,50379,59362,49220,10142,53.03208977,79.95841253,20.13140396,82.91499613,17.08500387,64.52107409,4.336107274,3.525824602,2.680165763,28.46265288,35.47892591,-2.337338243,-20.51824635,5.548929561,-3.9624676,-34.0270709,-2.038027932,-0.204512851,0.610952245,35.45414659,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Rajouri,6,District - Rajouri ,0,642415,345351,297064,195120,127833,67287,103985,88835,15150,53.29284543,69.49301041,22.51549333,85.43059095,14.56940905,37.75256047,2.854257826,3.585132471,3.237005337,56.15617637,62.24743953,483284,257336,225948,139049,86540,52509,84381,75937,8444,60.68436307,87.74786226,16.08105277,89.9930079,10.0069921,55.2695512,3.22465958,3.723587063,2.008746045,39.49704317,44.7304488,-7.391517638,-18.25485185,6.434440563,4.562416954,-17.51699074,-0.370401754,-0.138454592,1.228259293,16.6591332,Cultivators,Administration and Defence,Cultivators
Kathua,7,District - Kathua ,0,616435,326109,290326,148804,122121,26683,113126,98280,14846,76.02349399,80.47755914,55.63842147,86.8765801,13.1234199,38.98484875,6.085250075,7.639269487,5.853649912,49.07625126,61.01515125,550084,289391,260693,138732,102886,35846,116807,93202,23605,84.19614797,90.58764069,65.85114099,79.79145085,20.20854915,51.05515937,5.599835626,5.348138382,4.922650184,38.42235482,48.94484063,-8.172653977,-10.11008155,-10.21271953,-7.085129242,-12.07031061,0.485414449,2.291131105,0.930999729,10.65389644,Cultivators,Cultivators,Cultivators
Baramula,8,District - Baramula ,Y,1008039,534733,473306,222030,186359,35671,147608,134177,13431,66.48110616,71.99920583,37.65243475,90.90089968,9.09910032,28.25863097,7.364099507,8.50089426,3.930681264,60.44658826,71.74136903,1169780,614816,554964,246749,196861,49888,188374,164769,23605,76.342356,83.69814234,47.31598781,87.46907747,12.53092253,44.45677217,11.90026224,7.420344634,2.432395129,41.21057046,55.54322783,-1.61510295,-2.103229022,-1.28546332,-2.906769723,-15.17519484,-2.796134087,0.558460049,1.512891378,16.45843755,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,100001,70648,29353,55267,49173,6094,55.26644734,69.60281961,20.76108064,88.97352851,11.02647149,32.01367905,13.7514249,6.58439937,3.984294425,50.25060162,67.98632095,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.61510295,-2.103229022,-1.28546332,-2.906769723,-15.17519484,-2.796134087,0.558460049,1.512891378,16.45843755,Administration and Defence,Administration and Defence,Manufacturing (Household)
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,313675,261713,51962,269044,235973,33071,85.77157886,90.16479884,63.64458643,87.70795855,12.29204145,6.044364491,12.21473068,20.67765867,6.956482954,74.78442188,93.95563551,1202447,649491,552956,283771,244154,39617,249638,227255,22383,87.9716391,93.07854878,56.49847288,91.03381697,8.966183033,9.74010367,17.37636097,16.03041204,4.52174749,68.36178787,90.25989633,-0.373743506,-0.988344099,1.119761071,3.002077228,-1.219799572,-5.185270349,2.483050498,2.396224082,4.008845839,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Ganderbal,11,District - Ganderbal ,Y,297446,158720,138726,74188,56071,18117,43750,39385,4365,58.97180137,70.24130121,24.09339295,90.02285714,9.977142857,23.74628571,12.04571429,5.204571429,6.681142857,57.52685714,76.25371429,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.373743506,-0.988344099,1.119761071,3.002077228,-1.219799572,-5.185270349,2.483050498,2.396224082,4.008845839,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Pulwama,12,District - Pulwama ,Y,560440,293064,267376,141639,106305,35334,81218,73755,7463,57.34155141,69.38055595,21.1212996,90.81115024,9.188849762,27.0531163,9.641951292,8.937673915,3.300992391,60.00394001,72.9468837,652607,335544,317063,148267,113134,35133,109979,99568,10411,74.17631705,88.00890979,29.63310847,90.53364733,9.466352667,54.44312096,8.33431837,5.888396876,2.023113503,35.19944717,45.55687904,-2.009788111,-3.778934958,-0.395968825,-0.120489722,-15.71162197,-0.153122569,1.989610557,0.46433515,15.40040939,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Shupiyan,13,District - Shupiyan ,Y,266215,136480,129735,61153,45797,15356,41478,37474,4004,67.82659886,81.8263205,26.07449857,90.34668981,9.653310189,61.59891991,5.320893004,5.80307633,0.89445007,32.18573702,38.40108009,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.009788111,-3.778934958,-0.395968825,-0.120489722,-15.71162197,-0.153122569,1.989610557,0.46433515,15.40040939,Cultivators,Cultivators,Cultivators
Anantnag,14,District - Anantnag ,Y,1078692,559767,518925,280714,178650,102064,141171,127231,13940,50.28997485,71.21802407,13.65809688,90.12545069,9.874549305,33.87452097,7.351368199,11.25443611,4.632679516,54.14143131,66.12547903,1172434,610007,562427,277533,201404,76129,196195,175879,20316,70.69249423,87.32646819,26.68628249,89.64499605,10.35500395,51.70009429,8.408471164,6.55623232,1.710543082,38.18089146,48.29990571,-3.230041024,-5.26809562,-0.883719419,-0.599254842,-13.855,-0.534606699,3.599540435,2.314325383,12.07528132,Cultivators,Cultivators,"Education, Health and Social Work"
Kulgam,15,District - Kulgam ,Y,424483,217620,206863,115969,75425,40544,61817,55954,5863,53.30476248,74.18495194,14.46083268,90.51555397,9.484446026,46.91266157,9.067085106,7.646763835,2.636815116,41.38343821,53.08733843,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.230041024,-5.26809562,-0.883719419,-0.599254842,-13.855,-0.534606699,3.599540435,2.314325383,12.07528132,Cultivators,Cultivators,Cultivators
Doda,16,District - Doda ,Y,409936,213641,196295,109013,74004,35009,62630,53876,8754,57.45186354,72.80147019,25.00499871,86.02267284,13.97732716,35.26425036,2.64569695,4.769279898,9.069136197,53.02091649,64.73574964,691929,363526,328403,201189,125227,75962,141333,107810,33523,70.24887047,86.09165755,44.13127616,76.28084029,23.71915971,63.89519787,2.794110363,3.026186383,3.006375015,30.30431676,36.10480213,-5.517653247,-5.051936127,-5.908451422,-9.947425948,-21.62284002,-0.540910166,1.431594233,4.021722863,18.14202733,Cultivators,Cultivators,"Education, Health and Social Work"
Ramban,17,District - Ramban ,Y,283713,149132,134581,62927,50418,12509,40492,36491,4001,64.34757735,72.37692887,31.98497082,90.11903586,9.880964141,47.22414304,2.437518522,4.583621456,6.843327077,43.49501136,52.77585696,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-5.517653247,-5.051936127,-5.908451422,-9.947425948,-21.62284002,-0.540910166,1.431594233,4.021722863,18.14202733,Cultivators,Cultivators,Cultivators
Kishtwar,18,District - Kishtwar ,Y,230696,120165,110531,59157,41467,17690,34682,28459,6223,58.62704329,68.63047725,35.1780667,82.0569748,17.9430252,49.14653134,1.329219768,3.748342079,3.558041635,45.96620725,50.85346866,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-5.517653247,-5.051936127,-5.908451422,-9.947425948,-21.62284002,-0.540910166,1.431594233,4.021722863,18.14202733,Cultivators,Cultivators,Cultivators
Udhampur,19,District - Udhampur ,Y,554985,296784,258201,172427,118344,54083,118112,99337,18775,68.49971292,83.93919421,34.71516003,84.10407071,15.89592929,41.49282037,3.472974804,6.646234083,5.860539149,49.17366567,58.50717963,743509,399686,343823,234623,155685,78938,179597,148021,31576,76.54705634,95.0772393,40.00101345,82.41841456,17.58158544,53.99254999,2.319637856,4.142608173,2.640355908,41.04745625,46.00745001,-3.081261126,-3.666449651,-2.122893148,-1.923898188,-6.150283616,0.482223868,1.946734931,2.477202244,3.190857505,Cultivators,Cultivators,Cultivators
Reasi,20,District - Reasi ,Y,314667,166461,148206,94745,59618,35127,65159,55238,9921,68.77302232,92.65322554,28.2432317,84.7741678,15.2258322,59.35173959,1.585352752,5.079881521,3.770776102,35.29213156,40.64826041,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.081261126,-3.666449651,-2.122893148,-1.923898188,-6.150283616,0.482223868,1.946734931,2.477202244,3.190857505,Cultivators,Cultivators,Cultivators
Jammu,21,District - Jammu ,Y,1529958,813821,716137,404144,333434,70710,339521,290764,48757,84.00990736,87.20286473,68.95347193,85.63947444,14.36052556,16.47585864,7.269947956,13.30226996,5.440311498,70.81388191,83.52414136,1588772,850302,738470,392354,323629,68725,338187,301796,36391,86.1943551,93.25369482,52.95161877,89.23938531,10.76061469,20.85621269,7.154030167,11.09622783,6.792395923,65.19736122,79.14378731,0.402592595,-0.20252573,1.320787686,2.732921341,-3.700758214,0.852363976,1.49753963,-1.118217885,3.966612123,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Samba,22,District - Samba ,Y,318898,169124,149774,74017,65917,8100,61471,56120,5351,83.0498399,85.13736972,66.0617284,91.29508223,8.704917766,20.90904654,12.07398611,8.680516016,6.965886353,60.051081,79.09095346,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.402592595,-0.20252573,1.320787686,2.732921341,-3.700758214,0.852363976,1.49753963,-1.118217885,3.966612123,Administration and Defence,Administration and Defence,"Education, Health and Social Work"
Chamba,23,District - Chamba ,0,519080,261320,257760,188068,104516,83552,94792,70436,24356,50.40304571,67.39255234,29.15070854,74.30584859,25.69415141,42.97409064,3.719723183,4.487720483,11.44400371,41.86218246,57.02590936,460887,235218,225669,149128,83930,65198,94064,70339,23725,63.07601524,83.80674372,36.38915304,74.77781085,25.22218915,54.72656914,3.151046096,3.409380847,3.646453478,38.47593128,45.27343086,-12.67296953,-16.41419138,-7.238444501,0.471962257,-11.7524785,0.568677087,1.078339636,7.797550235,3.386251182,Cultivators,Cultivators,Cultivators
Kangra,24,District - Kangra ,0,1510075,750591,759484,493943,297392,196551,260825,204100,56725,52.80467584,68.62995642,28.86019405,78.25170133,21.74829867,24.53254098,7.959359724,9.601840314,10.99127768,56.51682162,75.46745902,1339030,661254,677776,401593,228308,173285,256900,184752,72148,63.97023853,80.92226291,41.63545604,71.91592059,28.08407941,44.09497859,8.876216427,6.993771896,6.69910471,40.32970027,55.90502141,-11.16556268,-12.29230649,-12.77526199,-6.335780741,-19.56243762,-0.916856703,2.608068419,4.292172967,16.18712135,Cultivators,Cultivators,Cultivators
