CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,104723,78800,25923,12.03223056,16.61781143,6.543502186,75.24612549,24.75387451,67.1180161,3.347879644,1.595638016,6.086533044,21.8519332,32.8819839,650393,341303,309090,15948,9034,6914,2.452055911,2.646914911,2.236888932,56.64660145,43.35339855,58.65312265,5.950589416,5.543014798,15.23702032,14.61625282,41.34687735,,9.580174653,13.97089651,4.306613254,-18.59952404,8.464893451,-2.602709771,-3.947376782,-9.150487272,7.235680374
Badgam,2,District - Badgam ,0,753745,398041,355704,82471,45405,37066,10.94149878,11.40711635,10.42046196,55.05571655,44.94428345,59.15291436,21.80524063,1.573886578,4.230578021,13.23738041,40.84708564,629309,326050,303259,187430,77755,109675,29.78346091,23.84756939,36.16545593,41.484821,58.515179,70.55007203,18.12089847,3.504775116,2.716214053,5.108040335,29.44992797,,-18.84196212,-12.44045304,-25.74499397,-13.57089556,-11.39715767,3.684342161,-1.930888538,1.514363968,8.129340077
Leh(Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,17982,8670,9312,13.4709747,10.97871371,17.08122386,48.21488155,51.78511845,61.06106106,1.790679568,1.001001001,4.337671004,31.80958737,38.93893894,117232,64306,52926,89779,61364,28415,76.58233247,95.42499922,53.68816839,68.35005959,31.64994041,3.736954076,18.14232727,21.64425979,16.88813642,39.58832244,96.26304592,,-63.11135777,-84.44628552,-36.60694453,20.13517804,57.32410698,-16.3516477,-20.64325879,-12.55046542,-7.778735071
Kargil,4,District - Kargil ,0,140802,77785,63017,22973,14615,8358,16.31581938,18.7889696,13.26308774,63.61816045,36.38183955,45.42288774,2.35058547,1.101292822,24.89879424,26.22643973,54.57711226,119307,64955,54352,176728,80858,95870,148.128777,124.4831037,176.3872535,45.75279526,54.24720474,56.99040333,12.27196596,6.889683582,10.71080983,13.1371373,43.00959667,,-131.8129576,-105.6941341,-163.1241657,-17.86536519,-11.56751559,-9.921380489,-5.78839076,14.1879844,13.08930244
Punch,5,District - Punch ,0,476835,251899,224936,88812,54853,33959,18.62531064,21.77579109,15.0971832,61.76305004,38.23694996,74.87276494,1.488537585,0.984101248,6.544160699,16.11043553,25.12723506,372613,194213,178400,286621,95300,191321,76.9219002,49.0698357,107.242713,33.24948277,66.75051723,83.80125671,7.359544486,2.198024569,2.510632508,4.130541726,16.19874329,,-58.29658956,-27.2940446,-92.14552981,-28.51356727,-8.92849177,-5.871006901,-1.213923321,4.033528191,11.9798938
Rajouri,6,District - Rajouri ,0,642415,345351,297064,161113,74759,86354,25.07927119,21.64725164,29.06915681,46.40159391,53.59840609,87.305804,1.966321774,0.731163842,2.706175169,7.290535214,12.694196,483284,257336,225948,205745,78607,127138,42.57227634,30.54644511,56.26869899,38.20603174,61.79396826,83.35074971,5.662835063,2.763129116,3.407616224,4.815669883,16.64925029,,-17.49300516,-8.899193478,-27.19954218,-8.195562174,3.955054286,-3.696513289,-2.031965275,-0.701441055,2.474865332
Kathua,7,District - Kathua ,0,616435,326109,290326,57074,37785,19289,9.25872152,11.58661674,6.643910638,66.20352525,33.79647475,64.57931808,4.166520657,2.039457546,11.02078004,18.19392368,35.42068192,550084,289391,260693,261073,83412,177661,47.46056966,28.82328752,68.14950919,31.94968457,68.05031543,83.56168581,6.524228856,3.644957541,1.552439356,4.716688436,16.43831419,,-38.20184814,-17.23667078,-61.50559855,-34.25384068,-18.98236773,-2.357708198,-1.605499994,9.468340684,13.47723524
Baramula,8,District - Baramula ,Y,1008039,534733,473306,116720,80478,36242,11.57891709,15.05012782,7.65720274,68.94962303,31.05037697,63.05003427,7.486291981,2.690198766,5.872172721,20.90130226,36.94996573,1169780,614816,554964,6699,2779,3920,0.572671784,0.452005153,0.706352124,41.48380355,58.51619645,18.95805344,68.23406479,4.955963577,3.836393492,4.015524705,81.04194656,,13.0515481,15.3490382,10.46125548,-20.0066355,42.94229042,-57.77625039,-2.809467162,1.19830689,16.44512024
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,74056,36831,37225,18.88066247,17.73449538,20.17046686,49.73398509,50.26601491,60.08831155,15.14124446,1.289564654,3.714756401,19.76612293,39.91168845,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,13.0515481,15.3490382,10.46125548,0,42.94229042,-57.77625039,0,1.19830689,16.44512024
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,76705,43282,33423,6.201746563,6.647274559,5.706456322,56.42656932,43.57343068,14.73176455,17.06798775,7.930382635,9.554787823,50.71507724,85.26823545,1202447,649491,552956,208879,79581,129298,17.37116064,12.25282567,23.38305399,38.09909086,61.90090914,75.67156105,10.65736623,3.186055085,4.038701832,6.44631581,24.32843895,,-1.69978415,-3.650428175,-15.85342038,-17.98682607,-45.24318399,5.175920145,2.186973503,5.726781652,32.15350869
