CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWokersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices,BiggestEmployer,BiggestEmployerByMen,BiggestEmployerbyWomen
Kupwara,1,District - Kupwara ,0,870354,474190,396164,69297,53502,15795,7.961932731,11.28281912,3.986985188,77.20680549,22.79319451,70.37101173,3.922247716,1.754765719,6.731893156,18.9748474,29.62898827,650393,341303,309090,51984,25027,26957,7.992705949,7.33278055,8.721408004,48.14365959,51.85634041,78.1221145,6.044167436,1.954447522,1.050323176,14.78339489,21.8778855,,-0.030773218,3.950038573,-4.734422816,-29.0631459,-7.751102765,-2.12191972,-0.199681804,5.681569979,4.191452505,Agricultural Labourers,Agricultural Labourers,Other Services including Arts and Entertainment
Badgam,2,District - Badgam ,0,753745,398041,355704,51258,27935,23323,6.800443121,7.018121249,6.556856263,54.49880994,45.50119006,61.26458309,20.21733193,1.781185376,4.848023723,13.67006126,38.73541691,629309,326050,303259,39884,12464,27420,6.337745051,3.822726576,9.041776172,31.25062682,68.74937318,51.82278608,32.41901514,1.075619296,1.308795507,14.44940327,48.17721392,,0.46269807,3.195394673,-2.484919909,-23.24818312,9.44179701,-12.20168322,0.70556608,3.539228216,-0.779342011,Agricultural Labourers,Agricultural Labourers,Cultivators
Leh(Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,12200,5686,6514,9.139466765,7.200111433,11.94878568,46.60655738,53.39344262,58.78688525,2.016393443,1.163934426,4.983606557,34.21311475,41.21311475,117232,64306,52926,12084,5131,6953,10.3077658,7.979037726,13.13721044,42.46110559,57.53889441,73.7917908,8.333333333,1.5061238,4.68387951,13.19099636,26.2082092,,-1.168299033,-0.778926293,-1.188424767,-4.145451783,-15.00490555,-6.316939891,-0.342189374,0.299727047,21.0221184,Cultivators,Cultivators,Cultivators
Kargil,4,District - Kargil ,0,140802,77785,63017,15246,9815,5431,10.82797119,12.61811403,8.618309345,64.37754165,35.62245835,42.12908304,2.413747868,1.331496786,28.38121474,27.07595435,57.87091696,119307,64955,54352,9191,2993,6198,7.703655276,4.607805404,11.40344422,32.56446524,67.43553476,80.73115004,5.461864868,0.576651072,3.65575019,10.1512349,19.26884996,,3.124315918,8.010308629,-2.78513487,-31.81307641,-38.602067,-3.048117,0.754845714,24.72546455,16.92471944,Cultivators,Construction,Cultivators
Punch,5,District - Punch ,0,476835,251899,224936,57981,35341,22640,12.15955205,14.02982942,10.06508518,60.95272589,39.04727411,74.92971836,1.531536193,1.141753333,6.998844449,16.539901,25.07028164,372613,194213,178400,52574,12337,40237,14.10954529,6.352303914,22.5543722,23.46597177,76.53402823,91.75638148,1.987674516,0.561113859,1.162171416,5.093772587,8.243618519,,-1.949993246,7.677525502,-12.48928702,-37.48675412,-16.82666313,-0.456138323,0.580639474,5.836673034,11.44612841,Cultivators,Cultivators,Cultivators
Rajouri,6,District - Rajouri ,0,642415,345351,297064,91135,38998,52137,14.18631259,11.29227945,17.55076347,42.79146321,57.20853679,86.57595874,2.462281231,0.836122236,3.230372524,7.731387502,13.42404126,483284,257336,225948,54668,10603,44065,11.31177527,4.12029409,19.50227486,19.39525865,80.60474135,93.72210434,1.668251994,0.44267213,0.69144655,3.918197117,6.277895661,,2.874537315,7.171985359,-1.951511388,-23.39620456,-7.146145596,0.794029237,0.393450106,2.538925974,3.813190385,Cultivators,Cultivators,Cultivators
Kathua,7,District - Kathua ,0,616435,326109,290326,35678,23841,11837,5.787795956,7.310745794,4.077140869,66.82269185,33.17730815,62.43062952,4.535007568,2.382420539,12.22041594,20.81394697,37.56937048,550084,289391,260693,21925,9684,12241,3.985754903,3.346337654,4.695561446,44.16875713,55.83124287,74.34891676,4.556442417,1.623717218,10.668187,10.42645382,25.65108324,,1.802041053,3.96440814,-0.618420577,-22.65393473,-11.91828724,-0.02143485,0.758703321,1.552228941,10.38749315,Cultivators,Cultivators,Cultivators
Baramula,8,District - Baramula ,Y,1008039,534733,473306,74422,52182,22240,7.382849275,9.758514997,4.698862892,70.11636344,29.88363656,65.69294026,7.2854801,3.012550052,6.533014431,20.48856521,34.30705974,1169780,614816,554964,58375,32092,26283,4.990254578,5.21977307,4.735982875,54.97558887,45.02441113,63.33875803,13.06038544,2.511349036,3.602569593,19.99828694,36.66124197,,3.519241084,4.701524105,2.180251328,-6.84001421,1.692797242,-3.948800626,-0.054905383,2.030382168,0.225621216,Agricultural Labourers,Agricultural Labourers,Cultivators
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,44734,21475,23259,11.4049848,10.34042758,12.60295201,48.00599097,51.99400903,63.93123798,12.14959539,1.531273752,4.135556847,19.78360978,36.06876202,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,3.519241084,4.701524105,2.180251328,0,1.692797242,-3.948800626,0,2.030382168,0.225621216,Agricultural Labourers,Agricultural Labourers,Cultivators
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,44631,25740,18891,3.608502065,3.953164067,3.225343816,57.67291793,42.32708207,16.62521566,19.06298313,10.12076808,11.67798167,52.63381954,83.37478434,1202447,649491,552956,34133,16899,17234,2.838628231,2.601883629,3.11670368,49.50927255,50.49072745,31.424135,38.15662262,4.350628424,4.974657956,25.44458442,68.575865,,-0.373743506,2.6369031,1.389315527,-7.006732724,1.939836811,-21.19089776,2.202009815,6.510775446,12.7402855,Other Services including Arts and Entertainment,Other Services including Arts and Entertainment,Other Services including Arts and Entertainment
Ganderbal,11,District - Ganderbal ,Y,297446,158720,138726,30438,16686,13752,10.23311794,10.51285282,9.913066044,54.81963335,45.18036665,57.90787831,13.89053157,1.320717524,11.20310139,16.99848873,42.09212169,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-0.373743506,2.6369031,1.389315527,-7.006732724,1.939836811,-21.19089776,2.202009815,6.510775446,12.7402855,Agricultural Labourers,Agricultural Labourers,Cultivators
