Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,01,001,District - Kupwara,Total,Total,870354,474190,396164,123837,111713,12124,105227,79186,26041,69822,57414,12408,641290,283291,357999,85096,34578,50518
B0103,01,001,District - Kupwara,Total,Illiterate,430700,191367,239333,22574,17900,4674,53065,36630,16435,32617,25588,7029,355061,136837,218224,30897,6307,24590
B0103,01,001,District - Kupwara,Total,Literate,439654,282823,156831,101263,93813,7450,52162,42556,9606,37205,31826,5379,286229,146454,139775,54199,28271,25928
B0103,01,001,District - Kupwara,Total,Literate but below matric/secondary,265327,155094,110233,26812,24646,2166,32537,26954,5583,22596,19769,2827,205978,103494,102484,25002,11941,13061
B0103,01,001,District - Kupwara,Total,Matric/secondary but below graduate,131975,97191,34784,56946,53860,3086,15079,12067,3012,11368,9449,1919,59950,31264,28686,22260,12144,10116
B0103,01,001,District - Kupwara,Total,Technical diploma or certificate not equal to degree,770,517,253,306,245,61,87,57,30,49,33,16,377,215,162,152,99,53
B0103,01,001,District - Kupwara,Total,Graduate and above other than technical degree,18052,13664,4388,9075,7806,1269,1680,1299,381,1302,1016,286,7297,4559,2738,4275,2733,1542
B0103,01,001,District - Kupwara,Total,Technical degree or diploma equal to degree or post-graduate degree,4602,3390,1212,2652,2146,506,315,225,90,224,162,62,1635,1019,616,936,564,372
B0103,01,001,District - Kupwara,Rural,Total,765625,412038,353587,99611,89519,10092,96382,72473,23909,64266,52945,11321,569632,250046,319586,75124,30214,44910
B0103,01,001,District - Kupwara,Rural,Illiterate,390627,173253,217374,20752,16486,4266,49499,34003,15496,30612,23959,6653,320376,122764,197612,28279,5575,22704
B0103,01,001,District - Kupwara,Rural,Literate,374998,238785,136213,78859,73033,5826,46883,38470,8413,33654,28986,4668,249256,127282,121974,46845,24639,22206
B0103,01,001,District - Kupwara,Rural,Literate but below matric/secondary,234058,136416,97642,22337,20708,1629,29893,24847,5046,20905,18367,2538,181828,90861,90967,22379,10690,11689
B0103,01,001,District - Kupwara,Rural,Matric/secondary but below graduate,107253,78078,29175,43063,40568,2495,13220,10666,2554,10015,8391,1624,50970,26844,24126,18871,10465,8406
B0103,01,001,District - Kupwara,Rural,Technical diploma or certificate not equal to degree,696,466,230,268,214,54,80,54,26,44,31,13,348,198,150,143,94,49
B0103,01,001,District - Kupwara,Rural,Graduate and above other than technical degree,14196,10783,3413,6923,5924,999,1364,1058,306,1077,843,234,5909,3801,2108,3439,2268,1171
B0103,01,001,District - Kupwara,Rural,Technical degree or diploma equal to degree or post-graduate degree,3580,2700,880,2064,1698,366,243,171,72,189,137,52,1273,831,442,746,474,272
B0103,01,001,District - Kupwara,Urban,Total,104729,62152,42577,24226,22194,2032,8845,6713,2132,5556,4469,1087,71658,33245,38413,9972,4364,5608
B0103,01,001,District - Kupwara,Urban,Illiterate,40073,18114,21959,1822,1414,408,3566,2627,939,2005,1629,376,34685,14073,20612,2618,732,1886
B0103,01,001,District - Kupwara,Urban,Literate,64656,44038,20618,22404,20780,1624,5279,4086,1193,3551,2840,711,36973,19172,17801,7354,3632,3722
B0103,01,001,District - Kupwara,Urban,Literate but below matric/secondary,31269,18678,12591,4475,3938,537,2644,2107,537,1691,1402,289,24150,12633,11517,2623,1251,1372
B0103,01,001,District - Kupwara,Urban,Matric/secondary but below graduate,24722,19113,5609,13883,13292,591,1859,1401,458,1353,1058,295,8980,4420,4560,3389,1679,1710
B0103,01,001,District - Kupwara,Urban,Technical diploma or certificate not equal to degree,74,51,23,38,31,7,7,3,4,5,2,3,29,17,12,9,5,4
B0103,01,001,District - Kupwara,Urban,Graduate and above other than technical degree,3856,2881,975,2152,1882,270,316,241,75,225,173,52,1388,758,630,836,465,371
B0103,01,001,District - Kupwara,Urban,Technical degree or diploma equal to degree or post-graduate degree,1022,690,332,588,448,140,72,54,18,35,25,10,362,188,174,190,90,100
B0103,01,002,District - Badgam,Total,Total,753745,398041,355704,132003,116865,15138,82863,45713,37150,51316,32593,18723,538879,235463,303416,92898,36365,56533
B0103,01,002,District - Badgam,Total,Illiterate,418096,190300,227796,56961,49023,7938,49282,22615,26667,27367,15079,12288,311853,118662,193191,33560,5580,27980
B0103,01,002,District - Badgam,Total,Literate,335649,207741,127908,75042,67842,7200,33581,23098,10483,23949,17514,6435,227026,116801,110225,59338,30785,28553
B0103,01,002,District - Badgam,Total,Literate but below matric/secondary,198002,115419,82583,26970,24861,2109,18425,12590,5835,12736,9361,3375,152607,77968,74639,22585,10607,11978
B0103,01,002,District - Badgam,Total,Matric/secondary but below graduate,96539,64268,32271,31322,28705,2617,10918,7517,3401,8189,5936,2253,54299,28046,26253,26071,14068,12003
B0103,01,002,District - Badgam,Total,Technical diploma or certificate not equal to degree,1124,767,357,426,371,55,137,90,47,108,73,35,561,306,255,305,175,130
B0103,01,002,District - Badgam,Total,Graduate and above other than technical degree,19944,14339,5605,8241,6993,1248,1808,1321,487,1408,1056,352,9895,6025,3870,6586,4088,2498
B0103,01,002,District - Badgam,Total,Technical degree or diploma equal to degree or post-graduate degree,5478,3879,1599,2691,2183,508,357,246,111,268,190,78,2430,1450,980,1669,1008,661
B0103,01,002,District - Badgam,Rural,Total,655833,343385,312448,106388,93558,12830,75380,41011,34369,47178,29630,17548,474065,208816,265249,79431,30870,48561
B0103,01,002,District - Badgam,Rural,Illiterate,377568,172744,204824,51619,44442,7177,45717,20683,25034,25530,13875,11655,280232,107619,172613,30149,4913,25236
B0103,01,002,District - Badgam,Rural,Literate,278265,170641,107624,54769,49116,5653,29663,20328,9335,21648,15755,5893,193833,101197,92636,49282,25957,23325
B0103,01,002,District - Badgam,Rural,Literate but below matric/secondary,176367,102677,73690,23339,21457,1882,17015,11556,5459,11990,8741,3249,136013,69664,66349,20024,9365,10659
B0103,01,002,District - Badgam,Rural,Matric/secondary but below graduate,75196,49101,26095,21045,18839,2206,9724,6688,3036,7423,5360,2063,44427,23574,20853,21815,11966,9849
B0103,01,002,District - Badgam,Rural,Technical diploma or certificate not equal to degree,653,443,210,225,190,35,109,74,35,92,61,31,319,179,140,210,118,92
B0103,01,002,District - Badgam,Rural,Graduate and above other than technical degree,15363,11231,4132,6314,5366,948,1476,1092,384,1226,921,305,7573,4773,2800,5158,3309,1849
B0103,01,002,District - Badgam,Rural,Technical degree or diploma equal to degree or post-graduate degree,4419,3276,1143,2211,1815,396,308,220,88,243,176,67,1900,1241,659,1339,864,475
B0103,01,002,District - Badgam,Urban,Total,97912,54656,43256,25615,23307,2308,7483,4702,2781,4138,2963,1175,64814,26647,38167,13467,5495,7972
