CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Kupwara,1,District - Kupwara ,0,870354,474190,396164,293196,238834,54362,203788,171386,32402,69.50572313,71.75946473,59.60413524,84.10014329,15.89985671,41.16581938,3.176340118,3.216578012,4.471313326,51.18652718,58.83418062,650393,341303,309090,267176,179323,87853,192006,142287,49719,71.86498787,79.34676533,56.59340034,74.1054967,25.8945033,59.25804402,5.349832818,3.426455423,1.302042645,34.09008052,40.74195598,-2.359264739,-7.587300601,3.010734902,-9.994646583,-18.09222464,-2.1734927,-0.209877411,3.169270681,17.09644666
Badgam,2,District - Badgam ,0,753745,398041,355704,264844,184005,80839,191837,144346,47491,72.43396112,78.44678134,58.74763419,75.24408743,24.75591257,44.10619432,19.84653638,4.409472625,4.455866178,31.59140312,55.89380568,629309,326050,303259,265277,159996,105281,200296,137538,62758,75.50447268,85.96339908,59.60999611,68.66737229,31.33262771,45.24104326,27.01951112,4.021548109,2.621620002,25.11782562,54.75895674,-3.070511559,-7.516617748,-0.862361919,-6.576715139,-1.134848935,-7.172974741,0.387924516,1.834246176,6.4735775
Leh (Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,86673,60011,26662,71656,52823,18833,82.67395844,88.02219593,70.63611132,73.71748353,26.28251647,25.89315619,1.429049905,2.19939712,2.230099364,70.44769454,74.10684381,117232,64306,52926,68409,40558,27851,52178,33502,18676,76.27358973,82.60269244,67.05683817,64.20713711,35.79286289,45.2604546,5.013607267,3.166085323,3.995936985,45.73000115,54.7395454,6.400368709,5.41950349,3.579273145,-9.510346425,-19.36729841,-3.584557362,-0.966688204,-1.765837621,24.71769339
Kargil,4,District - Kargil ,0,140802,77785,63017,65137,47303,17834,45782,35108,10674,70.28570551,74.21939412,59.85196815,76.68516011,23.31483989,22.84959154,1.65348827,2.066314272,13.01384824,62.48307195,77.15040846,119307,64955,54352,65902,35970,29932,51634,31169,20465,78.34967072,86.65276619,68.37164239,60.3652632,39.6347368,49.51194949,2.289189294,2.105201999,6.259441453,41.93941976,50.48805051,-8.06396521,-12.43337208,-8.519674239,-16.31989691,-26.66235795,-0.635701023,-0.038887727,6.754406784,20.54365219
Punch,5,District - Punch ,0,476835,251899,224936,220013,151006,69007,144097,105009,39088,65.49476622,69.53962094,56.64352892,72.87382805,27.12617195,54.14200157,1.829323303,2.047232073,5.310311804,38.71836332,45.85799843,372613,194213,178400,247219,113111,134108,159501,86268,73233,64.51809934,76.26844427,54.60748054,54.08618128,45.91381872,80.14495207,3.129760942,1.82067824,1.95860841,14.76667858,19.85504793,0.976666881,-6.728823329,2.036048379,-18.78764677,-26.0029505,-1.300437639,0.226553833,3.351703394,23.95168475
Rajouri,6,District - Rajouri ,0,642415,345351,297064,383202,220988,162214,252426,162300,90126,65.87282947,73.44290188,55.55993934,64.29607093,35.70392907,63.81355328,2.413380555,2.07347896,3.256399895,30.51666627,36.18644672,483284,257336,225948,272789,137667,135122,188736,116039,72697,69.18754055,84.28962642,53.80100946,61.48217616,38.51782384,73.43697016,2.525750254,2.185592574,1.593760597,22.44351899,26.56302984,-3.31471108,-10.84672454,1.758929881,-2.813894766,-9.62341688,-0.112369699,-0.112113614,1.662639299,8.073147281
Kathua,7,District - Kathua ,0,616435,326109,290326,228273,177566,50707,178945,144710,34235,78.39078647,81.49645766,67.51533319,80.86842326,19.13157674,46.13316941,5.624074436,6.001844142,7.772220515,40.47053564,53.86683059,550084,289391,260693,214306,147563,66743,178957,130304,48653,83.50536149,88.30397864,72.89603404,72.81302212,27.18697788,57.3316495,5.526467252,4.469788832,5.84497952,31.29690373,42.6683505,-5.114575022,-6.807520984,-5.380700852,-8.055401136,-11.19848009,0.097607184,1.53205531,1.927240994,9.173631914
Baramula,8,District - Baramula ,Y,1008039,534733,473306,373217,292624,80593,271261,222696,48565,72.68184461,76.1031221,60.25957589,82.09657857,17.90342143,41.17178658,8.073405318,6.335595607,4.901552379,45.85325572,58.82821342,1169780,614816,554964,403984,294052,109932,319597,247101,72496,79.11130144,84.03309619,65.9462213,77.31643288,22.68356712,47.72134907,16.30835083,5.939354875,2.611413749,33.35888635,52.27865093,1.480947389,1.888359602,0.754989923,-0.143913702,-5.176339937,-5.481858852,-0.430400158,1.979877748,8.67832104
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,196405,121009,75396,132046,89707,42339,67.23148596,74.13250254,56.15549897,67.93617376,32.06382624,45.36600882,16.48213501,3.810793208,3.953925147,34.19793102,54.63399118,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.480947389,1.888359602,0.754989923,-0.143913702,-5.176339937,-5.481858852,-0.430400158,1.979877748,8.67832104
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,433608,338070,95538,368598,301663,66935,85.00719544,89.23092851,70.06112751,81.84065025,18.15934975,7.638674111,13.6807579,18.36852072,7.689406888,70.9911611,92.36132589,1202447,649491,552956,391888,313956,77932,342729,289178,53551,87.45585473,92.10781129,68.71503362,84.37511853,15.62488147,12.86643383,21.81081846,14.2053926,4.602178398,60.72056931,87.13356617,1.537879341,1.105616541,2.929127965,4.20072213,0.923205661,-8.157215975,1.180674782,3.248697273,3.98531304
