CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWokersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices,BiggestEmployer,BiggestEmployerByMen,BiggestEmployerbyWomen
Kupwara,1,District - Kupwara ,0,870354,474190,396164,89408,67448,21960,10.27260172,14.22383433,5.543158894,75.43843951,24.56156049,68.10688082,3.590282749,1.693360773,6.53968325,21.76315319,31.89311918,650393,341303,309090,75170,37036,38134,11.55762747,10.85135495,12.33750688,49.26965545,50.73034455,77.87016097,6.21125449,1.903684981,1.033657044,14.8849275,22.12983903,,-1.285025742,3.372479374,-6.794347981,-26.16878407,-9.763280152,-2.620971741,-0.210324208,5.506026206,6.878225688,Agricultural Labourers,Agricultural Labourers,Other Services including Arts and Entertainment
Badgam,2,District - Badgam ,0,753745,398041,355704,73007,39659,33348,9.685901731,9.963546469,9.375210849,54.32218828,45.67781172,58.57657485,22.98272768,1.569712493,4.584491898,13.85620557,41.42342515,629309,326050,303259,64981,22458,42523,10.32577001,6.887900629,14.02200759,34.56087164,65.43912836,48.72962866,37.11854234,1.111094012,1.088010341,13.06381865,51.27037134,,-0.639868281,3.07564584,-4.646796741,-19.76131664,9.846946188,-14.13581466,0.458618481,3.496481557,0.792386915,Agricultural Labourers,Agricultural Labourers,Cultivators
Leh(Ladakh),3,District - Leh(Ladakh) ,0,133487,78971,54516,15017,7188,7829,11.24978462,9.102075445,14.36092156,47.86575215,52.13424785,57.99427316,1.904508224,1.065459146,4.661383765,35.43983485,42.00572684,117232,64306,52926,16231,7056,9175,13.84519585,10.97253755,17.33552507,43.47236769,56.52763231,74.59183045,7.590413406,1.281498367,5.662004806,12.15575134,25.40816955,,-2.595411228,-1.870462109,-2.974603508,-4.393384456,-16.59755729,-5.685905182,-0.216039221,-1.000621041,23.28408351,Cultivators,Cultivators,Cultivators
Kargil,4,District - Kargil ,0,140802,77785,63017,19355,12195,7160,13.7462536,15.67782992,11.36201342,63.00697494,36.99302506,42.66597778,2.335313872,1.198656678,26.50477913,28.49392922,57.33402222,119307,64955,54352,14268,4801,9467,11.95906359,7.39127088,17.4179423,33.64872442,66.35127558,82.2189515,4.569666386,0.483599664,3.209980376,10.00140174,17.7810485,,1.787190012,8.286559036,-6.055928877,-29.35825052,-39.55297372,-2.234352514,0.715057014,23.29479875,18.49252748,Cultivators,Construction,Cultivators
Punch,5,District - Punch ,0,476835,251899,224936,75916,45997,29919,15.92081118,18.26009631,13.30111676,60.58933558,39.41066442,74.29527372,1.491121766,1.040623847,7.026186838,17.18741767,25.70472628,372613,194213,178400,87718,26843,60875,23.54131498,13.82142287,34.12275785,30.6014729,69.3985271,91.65393648,2.10675118,0.477667069,1.114936501,5.124375841,8.346063522,,-7.620503802,4.438673438,-20.82164109,-29.98786268,-17.35866275,-0.615629414,0.562956778,5.911250337,12.06304183,Cultivators,Cultivators,Cultivators
Rajouri,6,District - Rajouri ,0,642415,345351,297064,130776,58688,72088,20.35693438,16.99372522,24.26682466,44.87673579,55.12326421,86.48375849,2.170122958,0.804428947,3.122897168,8.223221386,13.51624151,483284,257336,225948,84053,21628,62425,17.39205105,8.404576118,27.62803831,25.73138377,74.26861623,94.03233674,1.558540445,0.474700487,0.72930175,3.679821065,5.96766326,,2.96488333,8.589149106,-3.361213652,-19.14535202,-7.548578252,0.611582514,0.329728461,2.393595418,4.543400321,Cultivators,Cultivators,Cultivators
Kathua,7,District - Kathua ,0,616435,326109,290326,49328,32856,16472,8.002141345,10.07515892,5.673622066,66.60720078,33.39279922,62.65407071,4.374797275,2.254297762,11.88777165,21.08336036,37.34592929,550084,289391,260693,35349,17259,18090,6.426109467,5.963903508,6.93919668,48.82457778,51.17542222,76.47458202,4.254717248,1.468216923,9.230812753,10.03988797,23.52541798,,1.576031878,4.111255412,-1.265574613,-17.782623,-13.82051131,0.120080027,0.786080839,2.656958898,11.04347239,Cultivators,Cultivators,Cultivators
Baramula,8,District - Baramula ,Y,1008039,534733,473306,101956,69928,32028,10.11429121,13.07718057,6.766869636,68.58644906,31.41355094,63.15861744,7.983836165,2.809054886,6.230138491,22.6274079,36.84138256,1169780,614816,554964,84387,46951,37436,7.213920566,7.636593713,6.745662782,55.63771671,44.36228329,60.96436655,16.38878026,2.410323865,3.282496119,19.36435707,39.03563345,,4.663423176,5.998673989,3.14780967,-5.228711454,0.990357919,-5.404804073,-0.157971401,2.074206524,2.34023963,Agricultural Labourers,Agricultural Labourers,Cultivators
Bandipore,9,District - Bandipore ,Y,392232,207680,184552,64359,31302,33057,16.40840115,15.0722265,17.9120248,48.63655433,51.36344567,60.0475458,15.7367268,1.370437701,3.973026306,20.2427011,39.9524542,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,4.663423176,5.998673989,3.14780967,0,0.990357919,-5.404804073,0,2.074206524,2.34023963,Agricultural Labourers,Agricultural Labourers,Cultivators
Srinagar,10,District - Srinagar ,Y,1236829,651124,585705,65010,36407,28603,5.256183353,5.591408088,4.883516446,56.00215351,43.99784649,14.8515613,18.62021228,8.617135825,10.3276419,56.20058453,85.1484387,1202447,649491,552956,49159,24778,24381,4.088246717,3.814987429,4.409211583,50.40379178,49.59620822,30.22437397,39.50649932,4.300331577,4.591224394,25.67790232,69.77562603,,-1.282218274,3.431222953,2.121431087,-4.961185155,0.507844195,-22.39027466,1.476465004,5.79248019,16.08995028,Other Services including Arts and Entertainment,Other Services including Arts and Entertainment,Other Services including Arts and Entertainment
