State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party,Census_Code
Madhya_Pradesh,2013,12,14,4,1,0,1,DURGALAL VIJAY,M,BJP,65211,61,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,41.19,no,10.38,3.23,AEMP21204,BJP,1
Madhya_Pradesh,2013,12,14,4,1,0,2,BABU JANDAIL,M,BSP,48784,42,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,30.82,no,8.77,3.23,AEMP26557,BSP,1
Madhya_Pradesh,2013,12,14,4,1,0,3,BRAJRAJ SINGH,M,INC,34898,53,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,22.04,no,20.89,3.23,AEMP21209,INC,1
Madhya_Pradesh,2013,12,14,4,1,0,4,None of the Above,,NOTA,1834,NA,,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,1.16,yes,0.32,3.23,AEMP26555,NOTA,1
Madhya_Pradesh,2013,12,14,4,1,0,5,FAIMUDDIN AHMED,M,NCP,1326,32,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.84,yes,0.04,3.23,AEMP26562,NCP,1
Madhya_Pradesh,2013,12,14,4,1,0,6,MOHAMMAD INSAF QURESHI,M,SDPI,1266,32,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.8,yes,0.03,3.23,AEMP26565,SDPI,1
Madhya_Pradesh,2013,12,14,4,1,0,7,NAGARAM,M,IND,1219,42,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.77,yes,0.01,3.23,AEMP26556,IND,1
Madhya_Pradesh,2013,12,14,4,1,0,8,GANGARAM ADIWASI,M,SP,1207,52,ST,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.76,yes,0.09,3.23,AEMP26554,SP,1
Madhya_Pradesh,2013,12,14,4,1,0,9,MANGI LAL FAUJI,M,BA S D,1066,42,SC,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.67,yes,0.33,3.23,AEMP26563,BASD,1
Madhya_Pradesh,2013,12,14,4,1,0,10,MAHESH AGRAWAL,M,IND,550,47,GEN,158309,208780,SHEOPUR,GEN,SHEOPUR,GIRD ZONE,11,75.83,0.35,yes,0.04,3.23,AEMP26561,IND,1
