"State_Name","Year","month","Assembly_No","DelimID","Constituency_No","Poll_No","Position","Candidate","Sex","Party","Votes","Age","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","District_Name","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin_Percentage","ENOP","pid","Normalized_Party"
"Chhattisgarh",2013,12,3,4,1,0,1,"CHAMPA DEVI PAWLE","F","BJP",42968,27,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,36.13,"no",3.87,4,"AEMP1886","BJP"
"Chhattisgarh",2013,12,3,4,1,0,2,"GULAB KAMRO","M","INC",38360,36,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,32.25,"no",16.96,4,"AEMP1890","INC"
"Chhattisgarh",2013,12,3,4,1,0,3,"KANAS LAL","M","GGP",18188,36,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,15.29,"yes",11.16,4,"AEMP1889","GGP"
"Chhattisgarh",2013,12,3,4,1,0,4,"RAVISHANKAR SING KANWAR","M","IND",4918,27,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,4.14,"yes",0.45,4,"AEMP1891","IND"
"Chhattisgarh",2013,12,3,4,1,0,5,"KRISHNA KUMAR CHERWA","M","BSP",4380,25,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,3.68,"yes",0.34,4,"AEMP1893","BSP"
"Chhattisgarh",2013,12,3,4,1,0,6,"None of the Above","","NOTA",3971,NA,"",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,3.34,"yes",0.99,4,"","NOTA"
"Chhattisgarh",2013,12,3,4,1,0,7,"SHIVACHARAN","M","IND",2790,50,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,2.35,"yes",0.35,4,"AEMP1892","IND"
"Chhattisgarh",2013,12,3,4,1,0,8,"LALMAN SING NETAM","M","IND",2370,37,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,1.99,"yes",1.17,4,"AEMP1894","IND"
"Chhattisgarh",2013,12,3,4,1,0,9,"SANTKUMAR SONWANSHI","M","SHS",983,59,"ST",118928,145019,"BHARATPUR-SONHAT","ST","KORIA","NOTHERN HILLS",8,82.01,0.83,"yes",0,4,"AEMP1887","SHS"
"Chhattisgarh",2013,12,3,4,2,0,1,"SHYAM BIHARI JAISWAL","M","BJP",32613,37,"GEN",90692,125551,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS",11,72.24,35.96,"no",4.61,3.85,"AEMP1895","BJP"
"Chhattisgarh",2013,12,3,4,2,0,2,"GULAB SINGH","M","INC",28435,45,"ST",90692,125551,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS",11,72.24,31.35,"no",17.67,3.85,"AEMP823","INC"
"Chhattisgarh",2013,12,3,4,2,0,3,"RAMANUJ (RAMUCHACHA)","M","NCP",12411,68,"GEN",90692,125551,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS",11,72.24,13.68,"yes",2.94,3.85,"AEMP1904","NCP"
"Chhattisgarh",2013,12,3,4,2,0,4,"PAVAN KUMAR NETI","M","GGP",9747,34,"ST",90692,125551,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS",11,72.24,10.75,"yes",8.08,3.85,"AEMP1897","GGP"
"Chhattisgarh",2013,12,3,4,2,0,5,"None of the Above","","NOTA",2421,NA,"",90692,125551,"MANENDRAGARH","GEN","KORIA","NOTHERN HILLS",11,72.24,2.67,"yes",1.53,3.85,"","NOTA"
