stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
23,1,MADHYA PRADESH,Sheopur,Morena,75883,365492,190220,175272,61340,32286,29054,59534,30338,29196,182498,114273,68225,182994,75947,107047,134925,96855,81936,14919,38070,98664,2879,8045,50258,24802,14258,31887,9938,23094,35384,14072,1094
23,10,MADHYA PRADESH,Bhind,Bhind,61327,367588,198121,169466,77562,42200,35361,1933,1031,902,252102,149424,102678,115485,48697,66788,101740,83015,76499,6516,18724,53083,2389,18028,32969,27717,30840,30745,21231,26579,39639,13908,1425
23,100,MADHYA PRADESH,Jabalpur Paschim,Jabalpur,95989,461480,239624,221856,66119,34131,31987,20960,10864,10096,359904,194227,165676,101576,45397,56179,168563,143779,112497,31282,24783,7413,2575,62600,91844,3492,79474,23597,65466,76981,54618,45962,9157
23,101,MADHYA PRADESH,Panagar,Jabalpur,69817,315246,164121,151124,44369,22966,21403,58313,29715,28598,221801,126024,95776,93444,38096,55347,126169,89495,69381,20114,36673,55451,2959,13187,61265,8009,35692,49178,17777,37188,28772,17546,1698
23,102,MADHYA PRADESH,Sihora,Jabalpur,28048,120232,59716,60516,9873,5053,4820,84946,41739,43207,64946,37661,27285,55286,22055,33231,65178,28313,18869,9444,36865,55654,875,1535,15521,12356,4506,27181,579,3186,3468,1451,137
23,103,MADHYA PRADESH,Shahpura,Mandla,88620,365346,181979,183367,22071,11237,10834,245996,121443,124553,189991,112035,77956,175355,69944,105411,202524,118717,68882,49835,83807,179954,2657,3918,30622,56235,4462,85669,1636,5477,8987,3052,500
23,104,MADHYA PRADESH,Dindori,Mandla,83456,349557,175019,174538,17480,9012,8468,217884,108204,109680,193818,113617,80201,155739,61402,94337,192488,135250,75900,59350,57238,165211,2061,3875,32859,47643,5823,77505,3093,8688,14350,5161,828
23,105,MADHYA PRADESH,Bichhiya,Mandla,80545,330690,163667,167023,11439,5804,5635,219179,107482,111697,169403,99343,70060,161287,64324,96963,185639,105558,60569,44989,80081,169146,3933,2454,29726,50043,4482,78168,1268,5887,9954,3430,421
23,106,MADHYA PRADESH,Niwas,Mandla,82797,349201,173449,175752,13666,6984,6682,243628,119909,123719,188385,110465,77920,160816,62984,97832,197133,103373,58919,44454,93760,175217,2884,3010,51029,31277,5178,79848,2103,8058,9626,3595,439
23,107,MADHYA PRADESH,Mandla,Mandla,84372,364784,183146,181638,23310,11853,11457,139433,68470,70963,242210,135381,106829,122574,47765,74809,171886,112378,74696,37682,59508,119606,3866,19099,63144,20982,24165,66139,15576,27198,25460,13102,1428
23,108,MADHYA PRADESH,Baihar,Balaghat,73091,324474,159838,164636,10871,5399,5472,182549,89230,93319,189804,105374,84430,134670,54464,80206,167899,85427,52540,32887,82472,143921,2709,3206,37434,34954,9754,67755,3752,11652,12985,6988,752
23,109,MADHYA PRADESH,Lanji,Balaghat,69880,313995,155808,158187,20723,10189,10534,45389,22229,23160,212504,117046,95458,101491,38762,62729,176260,105156,65460,39696,71104,149045,3646,1655,52028,17350,8660,66824,2105,12028,13561,5749,447
23,11,MADHYA PRADESH,Lahar,Bhind,61252,335781,182370,153411,83200,45434,37766,409,226,183,211440,131980,79460,124341,50390,73951,116177,95757,84968,10789,20420,91485,1303,4004,27929,33058,13341,34664,4530,16154,34706,7957,723
23,110,MADHYA PRADESH,Paraswada,Balaghat,73715,321005,158788,162217,22564,11127,11437,71586,34946,36640,220731,119758,100973,100273,39030,61243,164053,102539,65970,36568,61514,129750,3394,4188,55168,18202,13881,66582,5181,15916,15756,8791,720
23,111,MADHYA PRADESH,Balaghat,Balaghat,62934,272258,135213,137044,21704,10655,11048,32852,15948,16903,197501,105959,91541,74757,29253,45503,134041,85353,57612,27741,48687,94561,3357,9499,49486,13262,19298,49465,11022,19679,18333,11732,1194
