DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,INC_Votes,Total_Votes,INC_VoteShare,BJP_Votes,BJP_VoteShare,Margin,Hindu,Poor,Middle,Rich,NumberofSeats,BJPSeats
Alirajpur,Madhya Pradesh,23,48,465,85874,250602,34.26708486,114294,45.60777647,11.34069161,96.71618205,25.23,81.33,5.42,2,2
Anuppur,Madhya Pradesh,23,44,461,153204,359653,42.59772614,127756,35.52201706,-7.075709086,91.62975133,4.73,56.02,18.76,3,1
Ashoknagar,Madhya Pradesh,23,42,459,196787,393355,50.02783745,149052,37.89248897,-12.13534848,92.08859374,10.25,69.69,15.82,3,1
Balaghat,Madhya Pradesh,23,40,457,298645,918040,32.53071762,339781,37.01156812,4.480850508,89.28634811,19.35,68.13,12.88,6,3
Barwani,Madhya Pradesh,23,24,441,293600,656111,44.74852578,304945,46.47765393,1.729128151,95.16466421,21.79,69.04,12.64,4,2
Betul,Madhya Pradesh,23,30,447,283775,771042,36.80409109,400953,52.00144739,15.1973563,95.58088871,13.34,58.52,25.46,5,5
Bhind,Madhya Pradesh,23,3,420,180242,638179,28.24317315,213519,33.45754091,5.214367756,93.68146306,9.09,67.62,22.35,5,3
Bhopal,Madhya Pradesh,23,27,444,403941,1079177,37.43046785,608978,56.42985349,18.99938564,74.05380967,27.57,41.68,57.16,7,6
Burhanpur,Madhya Pradesh,23,50,467,146645,365866,40.08161458,191650,52.38256629,12.30095171,72.90732826,13.34,65.4,21.26,2,2
Chhatarpur,Madhya Pradesh,23,8,425,225515,759824,29.67989956,294789,38.79701089,9.117111331,95.15103199,10.34,66.53,11.82,6,5
Chhindwara,Madhya Pradesh,23,38,455,434869,1117042,38.93040727,489412,43.81321383,4.882806555,92.01299714,19.99,62.61,20.62,7,4
Damoh,Madhya Pradesh,23,11,428,245239,576772,42.5192277,248463,43.07820074,0.558973043,93.84608205,7.68,69.23,8.97,4,3
Datia,Madhya Pradesh,23,5,422,98198,345987,28.38199123,126739,36.6311451,8.24915387,95.03516982,8.9,69.19,20.47,3,3
Dewas,Madhya Pradesh,23,20,437,304453,763334,39.88463766,409676,53.66929811,13.78466045,88.03336925,24.68,67.19,27.8,5,5
Dhar,Madhya Pradesh,23,21,438,464752,1010837,45.97694782,440693,43.59684103,-2.380106783,93.84324133,8.27,72.99,18.12,7,5
Dindori,Madhya Pradesh,23,36,453,120981,354694,34.10855554,147274,41.5214241,7.412868557,85.93532655,30.35,57.48,4.05,2,1
East Nimar,Madhya Pradesh,23,49,466,218773,591984,36.95589746,318013,53.71986405,16.76396659,90.24999599,8.81,66.53,22.26,4,4
Guna,Madhya Pradesh,23,41,458,254056,565761,44.90518081,257303,45.47909806,0.573917255,94.42046396,3.68,73.25,18.47,4,2
Gwalior,Madhya Pradesh,23,4,421,314593,826986,38.04091,319680,38.65603529,0.615125286,90.31823255,24.53,48.77,47.55,6,4
Harda,Madhya Pradesh,23,31,448,120602,275578,43.76329025,132458,48.06552047,4.302230222,92.46176365,6.68,65.69,26.63,2,1
Hoshangabad,Madhya Pradesh,23,32,449,212308,629709,33.71525578,354199,56.24804473,22.53278895,94.67136585,8.28,59.84,31.89,4,4
Indore,Madhya Pradesh,23,22,439,587424,1539453,38.1579691,843400,54.78569336,16.62772426,83.26143675,36.04,46.03,53.34,9,8
Jabalpur,Madhya Pradesh,23,34,451,450254,1137349,39.58802443,575411,50.59229841,11.00427397,87.64968301,32.63,51.74,39.17,8,6
Jhabua,Madhya Pradesh,23,47,464,162646,464579,35.00933103,163798,35.25729747,0.247966438,93.74439051,0.63,74.16,6.42,3,2
Katni,Madhya Pradesh,23,33,450,193568,600853,32.21553358,263982,43.93453973,11.71900615,96.02242032,18.99,58.7,15.57,4,3
Mandla,Madhya Pradesh,23,37,454,182592,509821,35.81492328,207991,40.79686792,4.981944643,80.53028472,4.43,58.03,11.54,3,2
Mandsaur,Madhya Pradesh,23,16,433,291253,698390,41.70348945,340749,48.79064706,7.087157605,88.97181536,17.86,78.98,15.99,4,3
Morena,Madhya Pradesh,23,2,419,199101,813790,24.46589415,288266,35.42265204,10.95675789,95.39794605,16.77,61.24,28.51,6,4
Narsimhapur,Madhya Pradesh,23,35,452,161153,568647,28.3397257,307820,54.13200105,25.79227535,95.12517241,5.01,61.28,18.74,4,4
Neemuch,Madhya Pradesh,23,15,432,112693,410749,27.43597672,185326,45.11903863,17.68306192,89.73703102,12.87,76.95,18.32,3,3
Panna,Madhya Pradesh,23,9,426,143031,448216,31.91117675,164012,36.59217877,4.681002017,95.89068587,16.03,64.8,10.67,3,2
Raisen,Madhya Pradesh,23,29,446,223750,607864,36.80922048,325966,53.62482397,16.81560349,89.75951433,6.81,68.62,22.56,4,4
Rajgarh,Madhya Pradesh,23,25,442,331277,766865,43.19886812,392150,51.13677114,7.937903021,92.75883127,11.21,79.29,13.89,5,4
Ratlam,Madhya Pradesh,23,17,434,257141,720115,35.70832436,364318,50.59164161,14.88331725,87.07786366,18.29,66.04,21.09,5,5
Rewa,Madhya Pradesh,23,13,430,252066,973823,25.88416992,319100,32.7677617,6.883591782,95.92965389,18.32,69.73,10.93,8,5
Sagar,Madhya Pradesh,23,10,427,436921,1097528,39.80955383,533749,48.63192556,8.82237173,92.42530244,30.43,70.65,11.49,8,7
Satna,Madhya Pradesh,23,12,429,272466,983584,27.70134528,325170,33.05970817,5.358362885,96.84548899,13.25,66.51,15.65,7,2
Sehore,Madhya Pradesh,23,28,445,206621,673494,30.6789667,348920,51.80744001,21.1284733,88.73473689,17.84,68.47,27.79,4,2
Seoni,Madhya Pradesh,23,39,456,269578,712546,37.83306622,254621,35.73397367,-2.09909255,83.02706559,18.08,61.43,13.89,4,1
Shahdol,Madhya Pradesh,23,43,460,189553,505114,37.52677613,197380,39.07632732,1.54955119,93.52852505,19.42,57.46,9.92,3,2
Shajapur,Madhya Pradesh,23,19,436,294920,763716,38.61644905,371622,48.6597112,10.04326216,87.32859076,5.18,76.58,18.24,5,5
Sheopur,Madhya Pradesh,23,1,418,102256,310962,32.88376072,130420,41.94081592,9.057055203,92.85335264,25.73,66.53,15.18,2,1
Shivpuri,Madhya Pradesh,23,6,423,326936,805948,40.56539628,299320,37.13887248,-3.426523796,95.52150865,21.65,67.68,16.37,5,2
Sidhi,Madhya Pradesh,23,45,462,236608,561501,42.13848239,206057,36.69753037,-5.44095202,95.60900169,1.16,63.32,6.33,4,2
Singrauli,Madhya Pradesh,23,46,463,95199,273879,34.75951059,160131,38.4849803,3.725469718,94.96933223,38.47,50.5,13.46,3,2
Tikamgarh,Madhya Pradesh,23,7,424,201136,663325,30.32239098,274520,41.38544454,11.06305356,95.73121704,10.04,71.69,10.23,5,3
Ujjain,Madhya Pradesh,23,18,435,331325,947616,34.96405717,492618,51.98498126,17.02092409,86.47818874,15.96,68.03,27.53,7,7
Umaria,Madhya Pradesh,23,14,431,74014,303826,24.3606538,136905,45.06033058,20.69967679,96.23998461,14.49,58.94,13.49,2,2
Vidisha,Madhya Pradesh,23,26,443,302113,670684,45.04550578,308575,46.00899977,0.963493985,88.24546311,3.74,70.31,10.37,5,3
West Nimar,Madhya Pradesh,23,23,440,370606,925526,40.04274326,419411,45.31596087,5.273217608,92.11952082,5.03,69.31,24.01,6,3
