State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid
Mizoram,2013,12,11,4,1,0,1,LALRINMAWIA RALTE,M,INC,7852,50,ST,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,45.35,no,13.47,3.03,INC
Mizoram,2013,12,11,4,1,0,2,SAIKAPTHIANGA,M,MNF,5519,59,ST,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,31.87,no,17.63,3.03,MNF
Mizoram,2013,12,11,4,1,0,3,LALHMINGTHANGA,M,NCP,2467,30,ST,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,14.25,yes,7.67,3.03,NCP
Mizoram,2013,12,11,4,1,0,4,LALZAMLOVA TOCHHAWNG,M,ZNP,1139,38,ST,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,6.58,yes,5.52,3.03,ZNP
Mizoram,2013,12,11,4,1,0,5,None of the Above,,NOTA,183,NA,,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,1.06,yes,0.16,3.03,NOTA
Mizoram,2013,12,11,4,1,0,6,PAZAWNA,M,BJP,155,27,ST,17315,21156,HACHHEK,ST,MAMIT,NA,5,81.84,0.9,yes,0,3.03,BJP
Mizoram,2013,12,11,4,2,0,1,LALROBIAKA,M,INC,6172,49,ST,14263,16205,DAMPA,ST,MAMIT,NA,4,88.02,43.27,no,8.14,2.86,INC
Mizoram,2013,12,11,4,2,0,2,LIANSUAMA,M,MNF,5011,65,ST,14263,16205,DAMPA,ST,MAMIT,NA,4,88.02,35.13,no,14.95,2.86,MNF
Mizoram,2013,12,11,4,2,0,3,LALRIMAWIA,M,ZNP,2878,48,ST,14263,16205,DAMPA,ST,MAMIT,NA,4,88.02,20.18,no,19.33,2.86,ZNP
Mizoram,2013,12,11,4,2,0,4,R LALTAWNLIANA,M,BJP,121,53,ST,14263,16205,DAMPA,ST,MAMIT,NA,4,88.02,0.85,yes,0.28,2.86,BJP
Mizoram,2013,12,11,4,2,0,5,None of the Above,,NOTA,81,NA,,14263,16205,DAMPA,ST,MAMIT,NA,4,88.02,0.57,yes,0,2.86,NOTA
Mizoram,2013,12,11,4,3,0,1,JOHN ROTLUANGLIANA,M,INC,7798,50,ST,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,45.81,no,14.63,2.94,INC
Mizoram,2013,12,11,4,3,0,2,H.B. LIANMUNGA,M,MNF,5308,51,ST,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,31.19,no,17.27,2.94,MNF
Mizoram,2013,12,11,4,3,0,3,BIAKTHUAMA MOLSHOY,M,NCP,2368,35,ST,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,13.91,yes,6.3,2.94,NCP
Mizoram,2013,12,11,4,3,0,4,H LALTANPUIA,M,ZNP,1296,37,ST,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,7.61,yes,6.73,2.94,ZNP
Mizoram,2013,12,11,4,3,0,5,None of the Above,,NOTA,151,NA,,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,0.89,yes,0.3,2.94,NOTA
Mizoram,2013,12,11,4,3,0,6,C DARLIANTHANGA,M,BJP,100,62,ST,17021,19781,MAMIT,ST,MAMIT,NA,5,86.05,0.59,yes,0,2.94,BJP
Mizoram,2013,12,11,4,4,0,1,HMINGDAILOVA KHIANGTE,M,INC,5119,68,ST,13084,15718,TUIRIAL,ST,KOLASIB,NA,3,83.24,39.12,no,1.83,2.94,INC
Mizoram,2013,12,11,4,4,0,2,JOSEPH L. RALTE,M,ZNP,4880,45,ST,13084,15718,TUIRIAL,ST,KOLASIB,NA,3,83.24,37.3,no,14.51,2.94,ZNP
Mizoram,2013,12,11,4,4,0,3,DR. KENNETH CHAWNGLIANA,M,MPC,2982,67,ST,13084,15718,TUIRIAL,ST,KOLASIB,NA,3,83.24,22.79,no,22,2.94,MPC
Mizoram,2013,12,11,4,4,0,4,None of the Above,,NOTA,103,NA,,13084,15718,TUIRIAL,ST,KOLASIB,NA,3,83.24,0.79,yes,0,2.94,NOTA
Mizoram,2013,12,11,4,5,0,1,P.C. ZORAM SANGLIANA,M,INC,6078,57,ST,15970,19047,KOLASIB,ST,KOLASIB,NA,4,83.85,38.06,no,3.73,3.03,INC
Mizoram,2013,12,11,4,5,0,2,LALCHAMLIANA,M,MNF,5483,58,ST,15970,19047,KOLASIB,ST,KOLASIB,NA,4,83.85,34.33,no,8.48,3.03,MNF
Mizoram,2013,12,11,4,5,0,3,LALDUHOMA,M,ZNP,4128,64,ST,15970,19047,KOLASIB,ST,KOLASIB,NA,4,83.85,25.85,no,24.85,3.03,ZNP
Mizoram,2013,12,11,4,5,0,4,RAMFANGZAUVI,F,BJP,159,55,ST,15970,19047,KOLASIB,ST,KOLASIB,NA,4,83.85,1,yes,0.23,3.03,BJP
Mizoram,2013,12,11,4,5,0,5,None of the Above,,NOTA,122,NA,,15970,19047,KOLASIB,ST,KOLASIB,NA,4,83.85,0.76,yes,0,3.03,NOTA
Mizoram,2013,12,11,4,6,0,1,K. LALRINTHANGA,M,INC,5664,56,ST,13980,16858,SERLUI,ST,KOLASIB,NA,4,82.93,40.52,no,10.06,3.23,INC
Mizoram,2013,12,11,4,6,0,2,LALHMINGLIANA,M,MNF,4258,57,ST,13980,16858,SERLUI,ST,KOLASIB,NA,4,82.93,30.46,no,5.07,3.23,MNF
Mizoram,2013,12,11,4,6,0,3,R. LALAWIA,M,ZNP,3549,72,ST,13980,16858,SERLUI,ST,KOLASIB,NA,4,82.93,25.39,no,22.85,3.23,ZNP
Mizoram,2013,12,11,4,6,0,4,H.A. DAWNGLIANA,M,BJP,354,51,ST,13980,16858,SERLUI,ST,KOLASIB,NA,4,82.93,2.53,yes,1.42,3.23,BJP
Mizoram,2013,12,11,4,6,0,5,None of the Above,,NOTA,155,NA,,13980,16858,SERLUI,ST,KOLASIB,NA,4,82.93,1.11,yes,0,3.23,NOTA
Mizoram,2013,12,11,4,7,0,1,R. L. PIANMAWIA,M,INC,5668,56,ST,12483,15088,TUIVAWL,ST,TUIVAWL,NA,4,82.73,45.41,no,10.98,2.7,INC
Mizoram,2013,12,11,4,7,0,2,GOGO LALREMTLUANGA,M,MNF,4297,37,ST,12483,15088,TUIVAWL,ST,TUIVAWL,NA,4,82.73,34.42,no,15.1,2.7,MNF
