stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
22,1,CHHATTISGARH,Bharatpur-Sonhat,Korba,47827,198519,100531,97988,12928,6492,6436,110435,55443,54992,113560,65570,47990,84959,34961,49998,99530,47635,33952,13683,51895,73756,1257,5879,18267,25375,8837,41376,3969,7262,9909,4820,870
22,10,CHHATTISGARH,Ambikapur,Sarguja,61109,276082,140499,135582,15280,7841,7438,114279,57386,56892,161996,92196,69800,114085,48303,65781,121883,75213,57206,18007,46670,82162,1159,8495,36030,24289,18584,46274,11535,18597,18565,12453,2442
22,11,CHHATTISGARH,Sitapur,Sarguja,60095,265674,133171,132503,10346,5112,5234,196278,97917,98360,125374,73163,52210,140300,60007,80292,142186,78260,59725,18534,63926,130264,1348,1069,32762,26462,20155,57349,1288,5961,10664,4561,522
22,12,CHHATTISGARH,Jashpur,Raigarh,67145,303936,153053,150883,14127,7111,7016,205249,102654,102595,174653,99581,75072,129283,53472,75811,181344,98204,68582,29622,83140,154166,919,1838,20814,39520,8252,63027,3003,7748,11478,5966,966
22,13,CHHATTISGARH,Kunkuri,Raigarh,59123,256705,127275,129429,11275,5583,5692,137755,67656,70099,156815,87758,69057,99890,39517,60372,145205,81532,56751,24780,63672,126086,1169,1252,25321,33177,6803,56252,1797,5948,10431,4573,656
22,14,CHHATTISGARH,Pathalgaon,Raigarh,67685,297209,147482,149727,23887,11835,12051,191337,94390,96946,167131,95223,71907,130077,52258,77819,164574,113918,75240,38678,50656,147771,1199,1768,32799,34544,13202,62597,2239,7721,11889,5541,919
22,15,CHHATTISGARH,Lailunga,Raigarh,63562,261992,131153,130839,22997,11507,11490,145734,72256,73478,155462,89481,65981,106530,41672,64858,131384,89603,65879,23724,41781,108663,1325,1668,42877,20407,9342,60256,2049,12015,12159,7269,920
22,16,CHHATTISGARH,Raigarh,Raigarh,82690,337858,171579,166279,55048,27472,27575,53078,26494,26584,242704,134835,107869,95154,36743,58410,134455,107121,83541,23580,27333,74636,4803,13857,75001,7248,28184,62405,15122,33407,28019,17201,2174
22,17,CHHATTISGARH,Sarangarh,Raigarh,80968,317054,158049,159005,87859,43643,44216,51270,25326,25944,200076,114640,85436,116978,43409,73569,156536,107993,73209,34784,48543,138177,5544,2039,69785,10678,10972,76123,2154,21113,16340,8651,900
22,18,CHHATTISGARH,Kharsia,Raigarh,73265,293047,147986,145060,38964,19487,19477,75866,37599,38266,198692,113240,85451,94354,34746,59608,117643,85186,66425,18760,32457,81282,3116,5606,69121,3709,14815,61795,7298,24281,21301,12157,1484
22,19,CHHATTISGARH,Dharamjaigarh,Raigarh,66675,280198,139630,140568,19839,9901,9938,177369,87666,89703,152690,89364,63326,127508,50266,77242,147843,93452,63989,29463,54391,127092,1819,2195,45275,20729,9183,62467,2784,10789,10856,6577,783
22,2,CHHATTISGARH,Manendragarh,Korba,36628,166748,85600,81148,18659,9545,9114,57689,28935,28754,108014,62045,45969,58734,23555,35179,61102,44602,35575,9027,16500,25990,443,18279,26294,10120,16274,16780,13783,18399,17549,11458,1189
22,20,CHHATTISGARH,Rampur,Korba,75868,313136,156758,156378,35289,17801,17487,157346,77845,79500,182381,107041,75340,130755,49716,81038,149293,82114,58356,23757,67179,119220,2843,5262,55770,16325,12365,68401,4433,17659,13277,8283,819
22,21,CHHATTISGARH,Korba,Korba,29621,130022,67467,62554,17334,8885,8449,13363,6763,6600,94867,53207,41659,35154,14259,20895,43144,39095,32572,6522,4049,1782,355,11375,27578,107,18188,7583,12175,20528,16707,11641,2251
22,22,CHHATTISGARH,Katghora,Korba,66277,289652,147786,141865,37567,19133,18433,75954,37859,38094,195328,111462,83866,94323,36324,57999,113517,85601,65291,20309,27915,56894,1862,12536,57100,7863,23249,38078,15325,30517,25327,18222,2840
22,23,CHHATTISGARH,Pali-Tanakhar,Korba,76734,330805,166452,164352,16052,8110,7942,221735,111097,110638,172589,102657,69931,158216,63795,94421,168864,103551,69946,33605,65313,149967,1722,3215,36390,35099,9720,74119,1404,8332,9041,4576,391
22,24,CHHATTISGARH,Marwahi,Korba,73923,281332,140412,140920,18280,9218,9061,163407,80873,82534,155643,90351,65291,125689,50060,75629,150003,81790,57192,24598,68212,117227,1591,2714,59932,13232,28206,70916,2088,11345,10004,4659,404
22,25,CHHATTISGARH,Kota,Bilaspur,66941,275470,139502,135968,30616,15603,15013,115123,57716,57406,159706,94136,65569,115763,45365,70398,134484,83873,54691,29181,50610,97813,2500,9131,54832,11029,12662,61196,4319,15442,13094,5577,552
22,26,CHHATTISGARH,Lormi,Bilaspur,63388,272424,137692,134732,73552,37364,36188,40462,20085,20377,140907,85612,55295,131517,52080,79437,135112,97153,58472,38681,37959,121012,4514,1221,46568,14332,7525,57610,1026,9320,10524,3628,344
