stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
8,1,RAJASTHAN,Sadulshahar,Ganganagar,96496,477647,254923,222723,138371,72312,66059,5033,2658,2375,310365,182900,127464,167281,72022,95259,199954,164576,133603,30972,35377,81179,3270,81486,85247,9804,86986,17229,38144,60177,58779,31370,7572
8,10,RAJASTHAN,Nohar,Churu,64272,350937,184245,166692,87146,45548,41598,1652,868,784,200540,123118,77422,150397,61127,89270,168445,129723,87511,42212,38722,124215,1161,55419,38512,25035,50477,45854,7095,18863,44435,5916,2014
8,100,RAJASTHAN,Ajmer North,Ajmer,42983,213426,109621,103805,52733,26924,25808,4063,2120,1943,163813,89206,74607,49612,20414,29198,68833,63678,52902,10776,5154,880,433,39102,42163,603,39282,4778,36059,37695,27076,25360,4762
8,101,RAJASTHAN,Ajmer South,Ajmer,34844,173000,88855,84144,42835,21869,20966,3304,1724,1580,132867,72335,60531,40133,16520,23613,55800,51639,42901,8737,4160,700,348,31708,34182,488,31882,3833,29269,30558,21917,20558,3868
8,102,RAJASTHAN,Nasirabad,Ajmer,66890,370974,191895,179079,58068,29662,28406,5083,2573,2510,212750,132663,80087,158223,59232,98991,153666,113316,86539,26777,40349,65101,2050,32209,55198,10864,26085,42770,21699,33115,44046,18372,1966
8,103,RAJASTHAN,Beawar,Rajsamand,58484,289957,146925,143031,39332,19914,19417,1430,704,726,182134,109689,72444,107823,37235,70587,111885,75007,57301,17705,36877,37585,1362,18719,48140,9601,23046,38601,18276,29708,34161,18712,2204
8,104,RAJASTHAN,Masuda,Ajmer,75760,392368,200691,191677,64205,32681,31524,11615,5818,5797,205598,131976,73621,186770,68714,118055,180137,139322,91872,47449,40815,101807,2750,29047,56552,18085,20911,57765,15935,28473,44999,20580,2352
8,105,RAJASTHAN,Kekri,Ajmer,62754,323079,164149,158930,69696,35466,34230,25531,13059,12472,159798,103801,55997,163281,60348,102933,152184,121664,76216,45448,30520,104735,1161,28018,39406,22689,12111,52326,8724,20234,40371,16027,1653
8,106,RAJASTHAN,Ladnun,Nagaur,52639,319519,162487,157031,60746,31189,29556,449,247,202,182121,111222,70899,137397,51265,86132,128327,74248,58637,15610,54079,84942,1864,23736,37851,13786,27388,37559,12880,22851,41187,5766,1724
8,107,RAJASTHAN,Deedwana,Nagaur,56705,335452,170804,164648,63317,32543,30774,346,194,152,189952,117498,72454,145500,53306,92194,132440,81638,63337,18301,50802,87561,2421,25151,38958,17279,30384,42044,11859,22464,43265,7283,2092
8,108,RAJASTHAN,Jayal,Nagaur,52509,299368,154350,145018,75733,38974,36759,401,208,193,147779,95363,52416,151589,58987,92602,148447,104174,63912,40262,44273,127813,3619,8262,21523,29702,10917,47223,2578,9757,37274,5290,1423
8,109,RAJASTHAN,Nagaur,Nagaur,56784,338400,173640,164760,60688,31377,29311,432,227,205,187692,114811,72881,150708,58829,91879,133283,95637,72299,23338,37646,77786,2417,17418,36163,19119,26606,34573,18038,21142,38779,14000,2440
8,11,RAJASTHAN,Bhadra,Churu,61986,323837,169667,154170,68706,36253,32453,2377,1276,1101,194988,119015,75973,128849,50652,78197,159501,131217,83737,47480,28284,119446,1416,35877,43675,17684,50207,40458,8161,24342,43298,7239,2195
8,110,RAJASTHAN,Khinwsar,Nagaur,61593,355269,183506,171763,83682,43018,40663,691,362,329,167201,109560,57641,188067,73946,114121,167888,129116,79994,49121,38772,144969,3916,9648,23219,36304,9971,52499,3567,10989,43491,11214,2287
8,111,RAJASTHAN,Merta,Rajsamand,66344,345204,177497,167706,80336,41337,38999,1398,736,661,187367,118582,68784,157837,58914,98922,153831,100417,72105,28312,53413,110647,3545,23235,44136,21440,23288,49554,12464,23635,48270,15725,2819
8,112,RAJASTHAN,Degana,Rajsamand,58270,302285,153542,148743,65927,33423,32504,929,464,465,153243,97501,55742,149042,56041,93001,149177,104541,65206,39335,44636,121839,4496,9708,33076,24624,16899,45959,4293,13366,43646,7272,4577
8,113,RAJASTHAN,Makrana,Nagaur,58823,354371,182089,172281,71288,36965,34322,499,256,243,189538,117180,72358,164832,64909,99923,126711,94672,76143,18529,32038,61768,3404,14416,39700,18217,25738,38987,16462,21962,41130,11613,2795
