Constituency_Name,2013,2008,Same,ConstID,Combo
SADULSHAHAR,BJP,INC,NO,1,BJPINC
SRI GANGANAGAR,NUZP,BJP,NO,2,NUZPBJP
SRI KARANPUR,BJP,IND,NO,3,BJPIND
SURATGARH,BJP,INC,NO,4,BJPINC
RAISINGHNAGAR,NUZP,INC,NO,5,NUZPINC
ANUPGARH,BJP,CPM,NO,6,BJPCPM
SANGARIA,BJP,INC,NO,7,BJPINC
HANUMANGARH,BJP,INC,NO,8,BJPINC
PILIBANGA,BJP,INC,NO,9,BJPINC
NOHAR,BJP,BJP,YES,10,BJPBJP
BHADRA,BJP,IND,NO,11,BJPIND
KHAJUWALA,BJP,BJP,YES,12,BJPBJP
BIKANER WEST,BJP,BJP,YES,13,BJPBJP
BIKANER EAST,BJP,BJP,YES,14,BJPBJP
KOLAYAT,INC,BJP,NO,15,INCBJP
LUNKARANSAR,IND,INC,NO,16,INDINC
DUNGARGARH,BJP,INC,NO,17,BJPINC
NOKHA,INC,IND,NO,18,INCIND
SADULPUR,BSP,BJP,NO,19,BSPBJP
TARANAGAR,BJP,BJP,YES,20,BJPBJP
SARDAR SHAHAR,INC,BJP,NO,21,INCBJP
CHURU,BJP,INC,NO,22,BJPINC
RATANGARH,BJP,BJP,YES,23,BJPBJP
SUJANGARH,BJP,INC,NO,24,BJPINC
PILANI,BJP,BJP,YES,25,BJPBJP
SURAJGARH,BJP,INC,NO,26,BJPINC
JHUNJHUNU,INC,INC,YES,27,INCINC
MANDAWA,IND,INC,NO,28,INDINC
NAWALGARH,IND,BSP,NO,29,INDBSP
UDAIPURWATI,BJP,BSP,NO,30,BJPBSP
KHETRI,BSP,INC,NO,31,BSPINC
FATEHPUR,IND,INC,NO,32,INDINC
LACHHMANGARH,INC,INC,YES,33,INCINC
DHOD,BJP,CPM,NO,34,BJPCPM
SIKAR,BJP,INC,NO,35,BJPINC
DANTA-RAMGARH,INC,CPM,NO,36,INCCPM
KHANDELA,BJP,BJP,YES,37,BJPBJP
NEEM KA THANA,BJP,INC,NO,38,BJPINC
SRIMADHOPUR,BJP,INC,NO,39,BJPINC
KOTPUTLI,INC,LSWP,NO,40,INCLSWP
VIRATNAGAR,BJP,BJP,YES,41,BJPBJP
SHAHPURA,BJP,BJP,YES,42,BJPBJP
CHOMU,BJP,INC,NO,43,BJPINC
PHULERA,BJP,BJP,YES,44,BJPBJP
DUDU,BJP,INC,NO,45,BJPINC
JHOTWARA,BJP,BJP,YES,46,BJPBJP
AMBER,NPEP,INC,NO,47,NPEPINC
JAMWA RAMGARH,BJP,INC,NO,48,BJPINC
HAWAMAHAL,BJP,INC,NO,49,BJPINC
VIDHYADHAR NAGAR,BJP,BJP,YES,50,BJPBJP
CIVIL LINES,BJP,INC,NO,51,BJPINC
KISHANPOLE,BJP,BJP,YES,52,BJPBJP
ADARSH NAGAR,BJP,BJP,YES,53,BJPBJP
MALVIYA NAGAR,BJP,BJP,YES,54,BJPBJP
SANGANER,BJP,BJP,YES,55,BJPBJP
