State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party
Rajasthan,2013,12,14,4,1,0,1,GURJANT SINGH,M,BJP,47184,74,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,28.57,no,2.91,4.55,GEXRJ1,BJP
Rajasthan,2013,12,14,4,1,0,2,JAGDISH CHANDER,M,INC,42376,51,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,25.66,no,8.69,4.55,AERJ17415,INC
Rajasthan,2013,12,14,4,1,0,3,KIRAN,F,NUZP,28022,34,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,16.97,no,0.03,4.55,AERJ17414,NUZP
Rajasthan,2013,12,14,4,1,0,4,DR. BRIJMOHAN SAHARAN,M,IND,27967,56,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,16.93,no,9.58,4.55,AERJ17413,IND
Rajasthan,2013,12,14,4,1,0,5,HETRAM BENIWAL,M,CPM,12139,81,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,7.35,yes,5.95,4.55,AERJ15220,CPM
Rajasthan,2013,12,14,4,1,0,6,None of the Above,,NOTA,2319,NA,,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,1.4,yes,0.22,4.55,AERJ7,NOTA
Rajasthan,2013,12,14,4,1,0,7,VEENA INDORA,F,BSP,1954,35,SC,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,1.18,yes,0.1,4.55,AERJ17417,BSP
Rajasthan,2013,12,14,4,1,0,8,SURENDER KUMAR,M,IND,1785,41,GEN,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,1.08,yes,0.22,4.55,AERJ17420,IND
Rajasthan,2013,12,14,4,1,0,9,URMILA DEVI,F,BHBP,1415,35,SC,165161,189965,SADULSHAHAR,GEN,GANGANAGAR,BIKANER DIVISION,8,86.94,0.86,yes,0,4.55,AERJ17416,BHBP
Rajasthan,2013,12,14,4,2,0,1,KAMINI JINDAL,F,NUZP,77860,25,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,51.67,no,24.6,2.78,AERJ17427,NUZP
Rajasthan,2013,12,14,4,2,0,2,RADHESHYAM GANGANAGAR,M,BJP,40792,74,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,27.07,no,11.86,2.78,AERJ12284,BJP
Rajasthan,2013,12,14,4,2,0,3,JAGDISH JANDU,M,INC,22915,54,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,15.21,yes,14.28,2.78,AERJ17428,INC
Rajasthan,2013,12,14,4,2,0,4,ASHOK KUMAR KASANIA,M,BSP,1401,38,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.93,yes,0,2.78,AERJ17429,BSP
Rajasthan,2013,12,14,4,2,0,5,None of the Above,,NOTA,1396,NA,,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.93,yes,0.3,2.78,AERJ9,NOTA
Rajasthan,2013,12,14,4,2,0,6,PREET KALRA,M,IND,947,31,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.63,yes,0.04,2.78,AERJ17425,IND
Rajasthan,2013,12,14,4,2,0,7,SRIKRISHAN KUKKAR,M,JGP,893,59,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.59,yes,0.1,2.78,AERJ17431,JGP
Rajasthan,2013,12,14,4,2,0,8,BHAGAT SINGH JAKHAR,M,IND,735,62,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.49,yes,0.01,2.78,AERJ17432,IND
Rajasthan,2013,12,14,4,2,0,9,RAJVEER SINGH,M,IND,721,34,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.48,yes,0.01,2.78,AERJ17434,IND
Rajasthan,2013,12,14,4,2,0,10,RADHESHYAM,M,IND,700,30,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.46,yes,0.06,2.78,AERJ17423,IND
Rajasthan,2013,12,14,4,2,0,11,INDRAJ NAYAK,M,IND,606,28,SC,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.4,yes,0.03,2.78,AERJ17421,IND
Rajasthan,2013,12,14,4,2,0,12,DULICHAND MEGHWAL,M,IND,560,56,SC,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.37,yes,0.04,2.78,AERJ17436,IND
Rajasthan,2013,12,14,4,2,0,13,RAJENDER KUMAR AGGARWAL,M,IND,499,59,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.33,yes,0.15,2.78,AERJ17422,IND
Rajasthan,2013,12,14,4,2,0,14,SANDEEP SHARMA,M,RJVP,280,28,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.19,yes,0.03,2.78,AERJ17424,RJVP
Rajasthan,2013,12,14,4,2,0,15,UMESH KUMAR,M,IND,230,42,GEN,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.15,yes,0.04,2.78,AERJ17430,IND
Rajasthan,2013,12,14,4,2,0,16,KRISHAN LAL,M,IND,164,33,SC,150699,182924,SRI GANGANAGAR,GEN,GANGANAGAR,BIKANER DIVISION,15,82.38,0.11,yes,0,2.78,AERJ17433,IND
Rajasthan,2013,12,14,4,3,0,1,SURENDER PAL SINGH,M,BJP,70147,61,GEN,168172,192599,SRI KARANPUR,GEN,GANGANAGAR,BIKANER DIVISION,13,87.32,41.71,no,2.29,2.94,AERJ9919,BJP
