State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Poll_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP,pid,Normalized_Party
Andhra_Pradesh,2014,5,14,4,1,0,1,KONERU KONAPPA,M,BSP,49033,58,GEN,151288,190962,SIRPUR,GEN,ADILABAD,TELANGANA,11,79.22,32.41,no,5.84,4.35,AEAP1,BSP
Andhra_Pradesh,2014,5,14,4,2,0,1,NALLALA ODELU,M,TRS,64867,50,SC,127721,174748,CHENNUR,SC,ADILABAD,TELANGANA,15,73.09,50.79,no,20.49,2.86,AEAP13,TRS
Andhra_Pradesh,2014,5,14,4,3,0,1,DURGAM CHINNAIAH,M,TRS,73779,43,SC,119454,160990,BELLAMPALLE,SC,ADILABAD,TELANGANA,21,74.2,61.76,no,43.97,2.38,AEAP29,TRS
Andhra_Pradesh,2014,5,14,4,4,0,1,DIWAKAR RAO NADIPELLI,M,TRS,95171,61,GEN,154453,238486,MANCHERIAL,GEN,ADILABAD,TELANGANA,13,64.76,61.62,no,38.36,2.27,AEAP51,TRS
Andhra_Pradesh,2014,5,14,4,5,0,1,KOVA LAXMI,F,TRS,59094,45,ST,146438,190257,ASIFABAD,ST,ADILABAD,TELANGANA,8,76.97,40.35,no,13.01,3.85,AEAP65,TRS
Andhra_Pradesh,2014,5,14,4,6,0,1,AJMEERA REKHA,F,TRS,67442,39,ST,136717,186545,KHANAPUR,ST,ADILABAD,TELANGANA,6,73.29,49.33,no,28.17,3.12,AEAP74,TRS
Andhra_Pradesh,2014,5,14,4,7,0,1,JOGU RAMANNA,M,TRS,58705,51,GEN,143479,223262,ADILABAD,GEN,ADILABAD,TELANGANA,15,64.26,40.92,no,10.25,3.33,AEAP81,TRS
Andhra_Pradesh,2014,5,14,4,8,0,1,RATHOD BAPURAO,M,TRS,62870,52,ST,138499,176205,BOATH,ST,ADILABAD,TELANGANA,5,78.6,45.39,no,19.49,2.94,AEAP97,TRS
Andhra_Pradesh,2014,5,14,4,9,0,1,ALLOLLA INDRA KARAN REDDY,M,BSP,61368,65,GEN,161515,210177,NIRMAL,GEN,ADILABAD,TELANGANA,7,76.85,38,no,5.26,3.23,AEAP103,BSP
Andhra_Pradesh,2014,5,14,4,10,0,1,GADDIGARI VITTAL REDDY,M,INC,63322,59,GEN,162872,208874,MUDHOLE,GEN,ADILABAD,TELANGANA,6,77.98,38.88,no,9.11,3.23,AEAP111,INC
