stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,1,TELANGANA,Sirpur,Adilabad,66954,278398,138978,139420,53580,26739,26841,34330,16966,17364,140460,80743,59717,137938,58235,79703,134570,93136,61333,31803,41434,95451,6036,12715,52079,13460,15722,52817,11168,22712,29448,6128,503
36,10,TELANGANA,Mudhole,Adilabad,68695,302316,148773,153543,50057,24299,25758,27984,13993,13991,149252,88011,61241,153064,60762,92302,160802,142754,74568,68186,18048,103362,3446,15720,62385,5484,15250,51238,13819,30468,45884,7343,674
36,100,TELANGANA,Palakurthi,Warangal,71256,292757,146640,146117,57364,28129,29235,59685,30720,28965,152652,88660,63992,140105,57980,82125,150724,120932,70886,50046,29792,120105,5350,15392,64026,6564,21167,61376,8029,28333,38376,6392,649
36,101,TELANGANA,Dornakal,Mahabubabad,68374,272598,137277,135321,38163,19465,18698,108427,55106,53320,132516,77849,54667,140081,59427,80653,147523,129088,70447,58641,18435,125903,6016,10180,62884,4749,16270,57532,8686,26620,34620,5380,475
36,102,TELANGANA,Mahabubabad,Mahabubabad,72152,287201,143616,143585,33884,16497,17387,103160,52224,50936,149097,86013,63084,138104,57603,80501,148207,124123,70412,53711,24084,111770,7284,16767,66778,4671,20139,57385,12672,33119,40019,7119,602
36,103,TELANGANA,Narsampet,Mahabubabad,73399,277769,139828,137941,35078,17891,17187,58783,30090,28693,152073,89555,62518,125696,50273,75423,145214,120263,68108,52155,24951,117796,6840,20730,68714,4038,24696,58844,11674,33346,36990,8048,744
36,104,TELANGANA,Parkal,Warangal,86469,335018,167781,167237,68609,34036,34572,14744,7509,7235,209456,119763,89692,125562,48017,77544,159866,136602,83045,53557,23263,102861,4719,36195,80606,3250,44557,51660,28206,47948,50940,14963,1738
36,105,TELANGANA,Warangal West,Warangal,68349,280823,140790,140033,40636,20092,20544,7705,4044,3661,208287,113453,94833,72536,27336,45200,99895,88752,67360,21391,11143,10694,1894,46804,62147,1463,55467,13323,44027,49138,46236,22569,3252
36,106,TELANGANA,Warangal East,Warangal,204766,841172,421811,419360,122134,60430,61704,23090,12122,10967,624529,340255,284273,216642,81555,135087,299045,265504,201763,63740,33541,30404,5741,139315,186272,4341,166157,39279,132293,147353,138817,67657,9751
36,107,TELANGANA,Wardhanapet,Warangal,108238,434683,218109,216574,84005,41785,42219,32132,16566,15565,286293,160233,126059,148390,57875,90514,186323,159946,106106,53839,26377,86172,5557,57201,99261,4574,64784,52478,45242,66462,66120,24534,3020
