Year,Value
Jan-14,-5.4
Feb-14,1.4
Mar-14,-5.1
Apr-14,-10.4
May-14,3.1
Jun-14,14.8
Jul-14,3.5
Aug-14,11.1
Sep-14,-2.0
Oct-14,-5.0
Nov-14,9.1
Dec-14,13.9
Jan-15,2.5
Feb-15,6.4
Mar-15,2.5
Apr-15,18.3
May-15,6.7
Jun-15,0.8
Jul-15,14.6
Aug-15,5.8
Sep-15,7.7
Oct-15,21.6
Nov-15,9.4
Dec-15,12.1
Jan-16,-0.1
Feb-16,-2.9
Mar-16,0.6
Apr-16,3.1
May-16,-1.1
Jun-16,-4.9
Jul-16,10.4
Aug-16,8.9
Sep-16,15.2
Oct-16,-0.2
Nov-16,-0.3
Dec-16,-8.9
Jan-17,11.7
Feb-17,5.2
Mar-17,6.4
Apr-17,15.1
May-17,5.2
Jun-17,-11.1
Jul-17,8.5
Aug-17,11.8
Sep-17,6.7
Oct-17,-4.6
Nov-17,5.6
Dec-17,1.8
Jan-18,-1.7
Feb-18,2.9
Mar-18,2.1
Apr-18,6.0
May-18,20.5
Jun-18,34.3
Jul-18,-0.2
Aug-18,-0.8
Sep-18,-4.6
Oct-18,4.5
