Row Labels,neighbourhood,lat,long,number,cost_for_two,rating,pricerange,votes,photos,neigh,city,ua,diversity
"Aerocity, New Delhi",Aerocity,28.5496,77.1212,10,2680,4.4,3.5,8443,15184,Aerocity, New Delhi,Delhi,5
"UB City, Bangalore",UB City,12.9716,77.5958,11,1854.545455,4.345454545,3.363636364,20059,18923,UB City, Bangalore,Bangalore,10
"Residency Road, Bangalore",Residency Road,12.97059,77.60193,15,1290,4.326666667,2.733333333,25997,16866,Residency Road, Bangalore,Bangalore,13
"Sarjapur Road, Bangalore",Sarjapur Road,12.90484,77.7013,22,1259.090909,4.304545455,2.727272727,59071,34607,Sarjapur Road, Bangalore,Bangalore,13
"Lavelle Road, Bangalore",Lavelle Road,12.97116,77.59567,11,1990.909091,4.3,3.272727273,20526,18648,Lavelle Road, Bangalore,Bangalore,8
"Bandra Kurla Complex, Mumbai",Bandra Kurla Complex,19.0688,72.8703,29,2148.275862,4.293103448,3.379310345,64051,86458,Bandra Kurla Complex, Mumbai,Mumbai,20
"Brigade Road, Bangalore",Brigade Road,12.97096,77.60469,14,1275,4.285714286,3.071428571,32196,16198,Brigade Road, Bangalore,Bangalore,10
"Mahim, Mumbai",Mahim,19.0354,72.8423,11,1122.727273,4.281818182,2.454545455,16298,14992,Mahim, Mumbai,Mumbai,9
"Science City Area, Kolkata",Science City Area,22.5391,88.3958,12,2475,4.275,3.416666667,17201,24239,Science City Area, Kolkata,Kolkata,7
"Koramangala 4th Block, Bangalore",Koramangala 4th Block,12.9315,77.63,22,1040.909091,4.272727273,2.454545455,51917,36421,Koramangala 4th Block, Bangalore,Bangalore,13
"Koramangala 5th Block, Bangalore",Koramangala 5th Block,12.9352,77.62,63,950.7936508,4.26984127,2.365079365,159530,98176,Koramangala 5th Block, Bangalore,Bangalore,21
"Greater Kailash 1 (GK1), New Delhi",Greater Kailash 1,28.5502,77.2398,26,1144.230769,4.269230769,2.52,28713,29011,Greater Kailash 1 (GK1), New Delhi,Delhi,13
