Res_id,ua,city,name,votes,locality,locality2,newlocality,latitude,longitude,cuisines,newcuisine,average_cost_for_two,Column,aggregate_rating,rating_text,establishment,delivery,address,url,timings,zipcode,locality_verbose,currency,price_range,highlights,opentable_support,photo_count
58882,Bengaluru,Bangalore,Byg Brewski Brewing Company,18967,Sarjapur Road,Sarjapur Road,Sarjapur Road,12.91293443,77.68290594,"Continental, North Indian, Italian, South Indian, Finger Food, Pizza",Continental,1600,92938.3,4.9,Excellent,Microbrewery,1,"Behind MK Retail, Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Mon-Sun (12:30 PM to 1 AM),560035,"Sarjapur Road, Bangalore",Rs.,3,"['Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Nightlife', 'Fullbar', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi', 'Brunch']",0,8559
51705,Bengaluru,Bangalore,Toit,15923,Indiranagar,Indiranagar,Indiranagar,12.9788881,77.640922,"Italian, American, Modern Indian",Italian,2000,73245.8,4.6,Excellent,Microbrewery,0,"298, 100 Feet Road, Namma Metro Pillar 62, Indiranagar, Bangalore",https://www.zomato.com/bangalore/toit-indiranagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12Noon to 12Midnight (Mon-Tue),12Noon to 1AM (Wed-Sun)",0,"Indiranagar, Bangalore",Rs.,4,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Debit Card', 'Nightlife', 'Craft Beer', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'Valet Parking Available', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'LGBTQIA Friendly', 'Pet Friendly', 'Wifi']",0,8514
51040,Bengaluru,Bangalore,Truffles,15582,Koramangala 5th Block,Koramangala 5th Block,Koramangala 5th Block,12.93342671,77.61438388,"Cafe, American, Burger, Steak",Cafe,900,71677.2,4.6,Excellent,Cafe,-1,"28, 4th 'B' Cross, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/truffles-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12noon to 3:50pm, 7pm to 10:30pm (Mon),12noon to 10:30pm (Tue-Sun)",0,"Koramangala 5th Block, Bangalore",Rs.,2,"['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking not available', 'Sneakpeek']",0,12196
56618,Bengaluru,Bangalore,AB's - Absolute Barbecues,13095,Marathahalli,Marathahalli,Marathahalli,12.9497983,77.6993079,"European, Mediterranean, North Indian, BBQ",European,1600,62856,4.8,Excellent,Casual Dining,-1,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",https://www.zomato.com/bangalore/abs-absolute-barbecues-marathahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 4 PM, 6:30 PM to 12 Midnight",,"Marathahalli, Bangalore",Rs.,3,"['Credit Card', 'Dinner', 'Lunch', 'Cash', 'Debit Card', 'Takeaway Available', 'Serves Alcohol', 'Wifi', 'Indoor Seating', 'Wheelchair Accessible', 'Valet Parking Available', 'Fullbar', 'Air Conditioned', 'Buffet', 'Live Music']",0,4512
54162,Bengaluru,Bangalore,The Black Pearl,11776,Koramangala 5th Block,Koramangala 5th Block,Koramangala 5th Block,12.93440245,77.616129,"European, Mediterranean, North Indian",North Indian,1500,55347.2,4.7,Excellent,Casual Dining,-1,"105, 1st A Cross Road, Jyothi Nivas College Road, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/the-black-pearl-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 4 PM, 6 PM to 12 Midnight",,"Koramangala 5th Block, Bangalore",Rs.,3,"['Credit Card', 'Debit Card', 'Dinner', 'Lunch', 'Serves Alcohol', 'Cash', 'Valet Parking Available', 'Fullbar', 'Live Music', 'Rooftop', 'Table booking recommended', 'Sneakpeek', 'Smoking Area', 'Wifi', 'Buffet', 'Craft Beer', 'Outdoor Seating', 'Indoor Seating', 'Variable Menu']",0,4833
57833,Bengaluru,Bangalore,Big Pitcher,10652,Old Airport Road,Old Airport Road,Old Airport Road,12.96013844,77.64692377,"American, Continental, North Indian, Mediterranean",American,1800,51129.6,4.8,Excellent,Pub,-1,"4121, LR Arcade, Old Airport Road, Bangalore",https://www.zomato.com/bangalore/big-pitcher-airport-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,11am to 1am (Mon-Sun),560008,"Old Airport Road, Bangalore",Rs.,3,"['Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Live Sports Screening', 'Valet Parking Available', 'Fullbar', 'Live Music', 'Table reservation required', 'Air Conditioned', 'Smoking Area', 'Buffet', 'Nightlife', 'Craft Beer', 'Outdoor Seating', 'Rooftop', 'Digital Payments Accepted', 'Wifi']",0,6179
18578798,Bengaluru,Bangalore,TBC Sky Lounge,10511,HSR,HSR,HSR,12.92287279,77.65154488,"Continental, Asian, Italian, North Indian",Continental,1600,51503.9,4.9,Excellent,Bar,-1,"Astra Hotel, 2795, 27th Main, Sector 1, HSR, Bangalore",https://www.zomato.com/bangalore/tbc-sky-lounge-hsr?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,12 Noon to 12 Midnight,,"HSR, Bangalore",Rs.,3,"['Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Lunch', 'Serves Alcohol', 'Nightlife', 'Outdoor Seating', 'Rooftop', 'Table booking recommended', 'Smoking Area', 'DJ', 'Fullbar', 'Indoor Seating', 'Air Conditioned']",0,2086
18387426,Bengaluru,Bangalore,The Black Pearl,10005,Marathahalli,Marathahalli,Marathahalli,12.93946895,77.69468185,"European, Mediterranean, North Indian, BBQ",North Indian,1500,48024,4.8,Excelente,Casual Dining,0,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",https://www.zomato.com/bangalore/the-black-pearl-marathahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12noon to 4pm, 6pm to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)",,"Marathahalli, Bangalore",Rs.,3,"['Dinner', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Live Music', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Buffet', 'Sneakpeek', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended']",0,2296
59840,Bengaluru,Bangalore,Onesta,9466,Koramangala 4th Block,Koramangala 4th Block,Koramangala 4th Block,12.93354697,77.6269792,"Italian, Pizza, Desserts, Beverages",Italian,600,40703.8,4.3,Very Good,Casual Dining,1,"562, 8th Main, Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/onesta-koramangala-4th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12:30 PM to 10 PM (Mon-Sat), 12 Noon to 10 PM (Sun)",,"Koramangala 4th Block, Bangalore",Rs.,2,"['Lunch', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Valet Parking Available', 'Indoor Seating', 'Air Conditioned', 'Buffet', 'Desserts and Bakes', 'Outdoor Seating', 'Table Reservation Not Required']",0,7630
18422898,Bengaluru,Bangalore,Hoot,9245,Sarjapur Road,Sarjapur Road,Sarjapur Road,12.91411089,77.67840721,"North Indian, Continental, Italian",Continental,1400,40678,4.4,Very Good,Microbrewery,1,"2034/69, Block 2, Kaikondrahalli, Varthur Hobli, Sarjapur Road, Bangalore",https://www.zomato.com/bangalore/hoot-sarjapur-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 12:30 AM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",560035,"Sarjapur Road, Bangalore",Rs.,3,"['Lunch', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Romantic Dining', 'LGBTQIA Friendly', 'Hookah', 'Wheelchair Accessible', 'DJ', 'Nightlife', 'Craft Beer', 'Outdoor Seating', 'Beer', 'Indoor Seating', 'Serves Cocktails', 'Table booking recommended', 'Smoking Area', 'Live Entertainment', 'Valet Parking Available', 'Fullbar', 'Wine']",0,5508
