state,region,stuntingperbelowminus3sd,Stunting Percentage Below -2SD,stuntingmeanzscore,wastingperbelowminus3sd,Wasting Percentage Below -2SD,wastingabove2sd,wastingmeanzscore,underweightperbelowminus3sd,Underweight Percentage Below -2SD,underweightperabove2sd,underweightmeanzscore,Stunting Rank,Wasting Rank,Underweight Rank,Total Score
Mizoram,Northeast,8.8,28.1,-1.2,2.3,6.1,4.2,-0.1,2.8,12,1.5,-0.8,13,1,1,15
Kerala,South,6.8,19.7,-0.7,6.5,15.7,3.4,-0.7,3.6,16.1,1.3,-0.9,1,11,4,16
Manipur,Northeast,8.8,28.9,-1.2,2.2,6.8,3.1,-0.3,2.4,13.8,0.7,-0.9,16,2,2,20
Jammu and Kashmir,North,11.9,27.4,-1,5.6,12.1,5.6,-0.3,4.9,16.6,1.9,-0.8,11,5,5,21
Himachal Pradesh,North,7.8,26.3,-1.1,3.9,13.7,1.9,-0.7,4.3,21.2,0.5,-1.1,8,6,8,22
Nagaland,Northeast,10.3,28.6,-1.1,4.2,11.3,3.8,-0.4,4.3,16.7,1.2,-0.9,14,4,6,24
Punjab,North,8.3,25.7,-1.1,5.6,15.6,2.3,-0.7,5.8,21.6,0.8,-1.1,7,10,10,27
Lakshadweep,South,6.2,26.8,-1.4,2.9,13.7,1.6,-0.7,5.6,23.6,0,-1.2,9,7,12,28
Sikkim,Northeast,12.5,29.6,-0.9,5.9,14.2,8.6,-0.3,3.7,14.2,1.7,-0.7,18,8,3,29
Andaman and Nicobar Islands,South,6.9,23.3,-1,7.5,18.9,3,-0.8,4.4,21.5,1.1,-1.1,3,19,9,31
Tripura,Northeast,8.1,24.3,-1,6.3,16.8,3,-0.8,5.3,24.1,1.1,-1.2,6,13,15,34
Chandigarh,North,7,28.7,-1.2,3.9,10.9,1.1,-0.9,5.8,24.5,0,-1.3,15,3,16,34
Arunachal Pradesh,Northeast,11.9,29.3,-1.1,8,17.3,4.9,-0.5,5.7,19.4,1.5,-1,17,16,7,40
Goa,West,8.8,20.1,-0.8,9.5,21.9,3.7,-0.9,5.5,23.8,0.8,-1.1,2,26,13,41
Puducherry,South,11,23.7,-0.9,7.8,23.6,2.2,-0.9,7,22,0.5,-1.1,5,29,11,45
Tamil Nadu,South,10.8,27.1,-1,7.9,19.7,5,-0.8,6.5,23.8,1.5,-1.1,10,21,14,45
Telangana,South,9.1,28,-1.2,4.8,18,0.7,-1,7.8,28.3,0.9,-1.4,12,18,20,50
Delhi,North,10.7,31.9,-1.2,4.6,15.9,1.2,-0.9,6.2,27,0.5,-1.3,20,12,19,51
Daman and Diu,West,8,23.4,-0.6,11.9,24.1,2.1,-1.2,4.8,26.7,2,-1.2,4,30,18,52
Uttarakhand,North,14,33.5,-1.2,9,19.5,3.5,-0.8,7.5,26.6,0.6,-1.3,22,20,17,59
Andhra Pradesh,South,10.7,31.4,-1.3,4.5,17.2,1.2,-1,7.2,31.9,0.5,-1.5,19,15,25,59
Meghalaya,Northeast,18.9,43.8,-1.5,6.5,15.3,3.9,-0.7,6.8,28.9,0.9,-1.3,33,9,21,63
Assam,Northeast,14.3,36.4,-1.4,6.2,17,2.3,-0.8,8.1,29.8,0.6,-1.4,27,14,23,64
West Bengal,East,10.3,32.5,-1.4,6.5,20.3,2.1,-1,8.8,31.5,0.5,-1.5,21,22,24,67
Haryana,North,14.8,34,-1.3,9,21.2,3.1,-0.9,8.1,29.4,0.6,-1.4,23,25,22,70
Odisha,East,12.3,34.1,-1.4,6.4,20.4,2.6,-1,9.4,34.4,0.8,-1.5,24,23,26,73
Maharashtra,West,12.9,34.4,-1.3,9.4,25.6,1.9,-1.2,10.5,36,0.6,-1.6,25,31,28,84
Uttar Pradesh,Central,21.2,46.2,-1.8,6,17.9,1.5,-1,12.2,39.5,0.2,-1.7,35,17,33,85
Karnataka,South,16.6,36.2,-1.3,10.5,26.1,2.6,-1.1,11.6,35.2,0.6,-1.5,26,33,27,86
Rajasthan,North,17.3,39.1,-1.5,8.5,23,2.1,-1.1,12.2,36.7,0.3,-1.6,30,27,29,86
Chhattisgarh,Central,15.7,37.6,-1.6,8.4,23.1,2.9,-1.1,11.2,37.7,0.3,-1.7,28,28,30,86
Gujarat,West,16.5,38.5,-1.4,9.5,26.4,1.9,-1.2,12.4,39.3,0.4,-1.7,29,34,32,95
Bihar,East,23.1,48.3,-1.8,7,20.8,1.2,-1.1,15.2,43.9,0.3,-1.8,36,24,35,95
Dadra and Nagar Haveli,West,19.7,41.7,-1.5,11.4,27.6,4.5,-1.1,11.3,38.8,0.4,-1.6,31,35,31,97
Madhya Pradesh,Central,18.6,42,-1.6,9.2,25.8,1.7,-1.2,14.3,42.8,0.3,-1.8,32,32,34,98
Jharkhand,East,20.2,45.3,-1.7,11.4,29,1.5,-1.4,17.4,47.8,0.3,-1.9,34,36,36,106
